video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1
000181,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,A nomal dusk with good visibility,cloudy evening with reduced visibility due to fading light,Which of the following best describes the traffic environment where the accident happened?,Traffic Environment,"An urban area with multi-story buildings, trees, and commercial billboards.","suburban area with low-rise houses, wide roads, and minimal commercial signage.",What is the road configuration at the accident location,Road Configuration,"A multi-lane main road with a marked crosswalk, approaching a signalized intersection.","wide two-lane road with a pedestrian crossing, leading to an uncontrolled intersection.",What type of collision occurred between the two vehicles?,Accident Type,"A series of T-bone collisions, the silver car was hit by two vehicles going straight",rear-end collision occurred when the silver car was struck from behind by a vehicle traveling in the same direction,What was the primary cause of this accident?,Accident Cause,"The silver car made an abrupt, unsignaled, and sharp turn across an occupied lane of traffic.",The pedestrian crossing the road unexpectedly caused the driver to swerve and lose control.,How could this accident have most likely been prevented?,Accident Prevention,"The driver of the silver car should have checked mirrors/blind spots, signaled, and only changed lanes when it was safe to do so.",The pedestrian should have waited for the traffic light to change before crossing the street.
000182,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Cloudy skies with dry road surfaces.,Partly sunny with wet road surfaces due to recent rainfall.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,At suburban intersection with active traffic signals.,At a rural intersection with stop signs and minimal traffic.,What is the configuration of the road where the accident took place?,Road Configuration,A busy signalized multi-lane intersection.,two-lane undivided road with a stop sign and light traffic.,What type of collision occurred between the truck and the SUV?,Accident Type,A side-impact (T-bone) collision where the front of the van hit the side of the minivan.,rear-end collision where the truck struck the back of the SUV.,What was the primary and direct cause of this accident?,Accident Cause,The red van driver failed to stop at a red traffic light and entered the intersection.,"The white van driver made a sudden left turn without signaling, causing the red van to swerve into the intersection.",Which of the following actions would have most effectively prevented this collision?,Accident Prevention,The red minivan waits for a safe and clear gap in traffic before entering and crossing the main road.,The white van yields to oncoming traffic before merging into the left lane.
000185,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with overcast skies and moderate visibility.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A busy suburban area with multiple lanes and commercial billboards.,quiet residential street with minimal traffic and no visible signage.,What is the configuration of the road where the accident took place?,Road Configuration,A signalized multi-lane T-junction.,signalized multi-lane intersection with a roundabout feature.,What type of collision occurred in the video?,Accident Type,A head-on collision between the front of both vehicles.,sideswipe collision between the side of one vehicle and the rear of another.,What was the primary and direct cause of this accident?,Accident Cause,The sedan was speeding through the intersection and did not keep safe distance.,The sedan failed to yield at the intersection due to a malfunctioning traffic light.,Which of the following actions would have most effectively prevented this collision?,Accident Prevention,The sedan slows down when approaching intersection.,The sedan turns left before reaching the intersection.
000187,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Daytime, with clear skies and dry road surfaces.","Daytime, with partly cloudy skies and wet road surfaces.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane road roadway with moderate traffic.,two-lane road with heavy traffic and frequent lane changes.,What is the road configuration at the location of the incident?,Road Configuration,A straight segment of a multi-lane road.,curved section of a two-lane road with traffic merging from the side.,How should the collision between the silver sedan and the blue hatchback be classified?,Accident Type,A side-impact (T-bone) collision.,rear-end collision involving the silver sedan and the blue hatchback.,What was the primary critical error that led to this collision?,Accident Cause,The silver sedan failed to yield the right-of-way to through traffic.,The white sedan abruptly accelerated into the intersection without checking for oncoming traffic.,What action would have been the most effective way to prevent this accident?,Accident Prevention,The driver of the silver sedan waits for a safe and clear gap in traffic before attempting to cross or enter the lane.,The driver of the blue sedan maintains a safe following distance while changing lanes to avoid obstructing traffic.
000188,"Based on the video, what were the weather and lighting conditions when the accident occurred?",Weather & Light,"It was a rainy day, and the road surface was wet.","It was a cloudy day, and the road surface was dry.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,An urban area characterized by high-rise residential buildings.,suburban area with low-rise apartment buildings and wide roads.,What is the road configuration at the location of the incident?,Road Configuration,A multi-lane urban road approaching an intersection with traffic lights.,two-lane residential road with a stop sign and no traffic lights.,What type of collision occurred between the red car and the silver one?,Accident Type,"A head-on collision, where the two vehicles hit front to front.","rear-end collision, where the red car struck the silver vehicle from behind.",What was the direct and primary cause of the collision?,Accident Cause,The silver car drived into the opposite lane,The red car failed to stop at the traffic light,ow could one of the drivers do to prevent this accident effectively,Accident Prevention,The silver sedan focuses on driving while turning.,The driver of the red car maintains a safe distance from the vehicle ahead.
000190,"Based on the visual information, what were the weather and lighting conditions at the time of the incident?",Weather & Light,It was daytime with clear weather and good visibility.,It was daytime with partly cloudy weather and moderate visibility.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,The scene takes place on a multi-lane urban road.,The scene takes place on a two-lane rural highway with minimal traffic.,What is the configuration of the road where the incident occurs?,Road Configuration,"A multi-lane road, moderate traffic flow, approaching a signalized intersection with a crosswalk.","wide two-lane road with light traffic, approaching a roundabout with pedestrian crossings.",How would you classify the type of accident that occurs in the video?,Accident Type,A severe head-on collision in the left lane.,rear-end collision involving multiple vehicles in the right lane.,What was the primary cause of this collision?,Accident Cause,The opposite white car entered the wrong lane,The red car failed to yield at the intersection,Which action could have most effectively prevented this incident?,Accident Prevention,The oppsite car slows down and observes the road sign carefully.,The driver maintains a safe following distance and checks mirrors frequently.
000191,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,It was a near-dusk time with dry road.,It was a bright afternoon with wet road conditions.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An rural road with moderate traffic flow and surrounded by woods,An urban road with heavy traffic flow and lined with buildings,What is the configuration of the main road on which the blue van was traveling?,Road Configuration,A multi-lane road approaching a T-junction with a double solid lines separating opposing traffic.,multi-lane road approaching a T-junction with a single dashed line separating opposing traffic.,"How would you classify the type of collision?""",Accident Type,"Series of T-bone collision where a straightforward-white sedan hit by a dark minivan and lost control, then made a lateral drift, comiitted a T-bone with the blue van ahead the ego-car.","Series of sideswipe collision where a white sedan was struck by a dark minivan on the side, causing it to veer into the lane of the blue van ahead of the ego-car.",What was the primary cause of this accident?,Accident Cause,The white car lost control after the side impact in the intersection,The white car failed to yield at the intersection and collided with the blue van,What action could have most likely prevented this collision?,Accident Prevention,The driver of the dark silver seadan stops and checks for oncoming traffic on the main road before proceeding.,The driver of the white van maintains a safe following distance and avoids sudden lane changes.
000193,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with overcast skies and moderate visibility.,What best describes the traffic environment where the accident occurred?,Traffic Environment,n urban road with trees and buildings alongside.,rural road with open fields and minimal structures alongside.,What is the configuration of the road where the incident takes place?,Road Configuration,"A multi-lane bend with at least two lanes for traffic moving in the same direction, , approaching a traffic-congest intersection.","straight, two-lane road with moderate traffic approaching a pedestrian crossing.",Which of the following best describes the type of accident shown in the video?,Accident Type,A sideswipe collision by the large truck and an in-lane black car,rear-end collision between the large truck and a white sedan in the adjacent lane,What was the primary cause of this accident?,Accident Cause,The truck merging to the left veered sharply to the right due to an unstable center of gravity.,The truck lost control due to sudden braking while navigating a sharp turn.,How could this accident have most effectively been prevented?,Accident Prevention,"The truck driver should have planned the turn in advance, moved to the rightmost lane, and slowly sped up before turning.",The truck driver should have signaled earlier and checked blind spots before initiating the turn.
000198,"Based on the visual evidence, what are the weather and road conditions at the time of the incident?",Weather & Light,Snowy day with overcast skies and reduced lighting.,Rainy day with wet pavement and low visibility,In what type of traffic environment does this incident occur?,Traffic Environment,An urban area with multiple vehicles and buildings.,rural road with minimal traffic and open surroundings.,How can the road configuration at the accident scene be best described?,Road Configuration,"A wide, multi-lane intersection or open area with unclear or absent lane markings.","narrow, two-lane road with clear lane markings and traffic signals at the intersection.",Which statement accurately describes the type of collision that occurs?,Accident Type,A rear-end collision by the reversing front car and the ego-car,side-impact collision between the ego-car and a vehicle approaching from the left,What was the primary and direct cause of this accident?,Accident Cause,The front minivan tried to reverse when it saw the bus in the main road rushing towards.,The bus failed to yield when turning left into the intersection.,Which of the following actions would have most directly prevented this collision?,Accident Prevention,The black minivan driver should have observed before entering the intersection,The driver of the white car should have yielded to the vehicle on the right before turning
000199,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Clear and sunny daylight conditions with a dry road surface.,Partially cloudy conditions with bright daylight and a dry road surface.,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,A suburban area a mix of passenger cars and commercial trucks.,An industrial zone with heavy commercial traffic and limited passenger vehicles.,What is the physical configuration of the road section seen in the video?,Road Configuration,"A straight, multi-lane roadway with a mix of passenger cars and commercial trucks.","curved, two-lane roadway with light traffic consisting mainly of passenger vehicles.",What is the sequence of events that defines this type of accident?,Accident Type,A head-on collision by the POV car and the car from the opposite,side collision between the POV car and a vehicle merging from the right,What was the primary human factor that led to this collision?,Accident Cause,The ego-car swerved into the opposing lane.,The opposing vehicle failed to yield while merging into the lane.,What action would have been the most effective way to prevent this accident?,Accident Prevention,The POV driver should merge into the proper lane and not retrograde,The driver of the white car should have yielded to traffic entering from the right
000202,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime under overcast or cloudy skies with good overall visibility.,Daytime under clear skies with bright sunlight and high visibility,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A suburban multi-lane road with trees and buildings visible on the sides.,rural two-lane road with open fields and sparse vegetation on both sides.,What is the configuration of the road where the incident takes place?,Road Configuration,"A straight, multi-lane, one-way road with clear white lane markings and a shoulder on the right.","curved, two-lane road with faded lane markings and no visible shoulder on either side",What type of collision occurred?,Accident Type,"A sideswipe collision, occurring when the SUV improperly changed into the hatchback's lane.","rear-end collision, occurring when the SUV failed to maintain a safe following distance behind the hatchback.",What was the primary and direct cause of this accident?,Accident Cause,The driver of the silver SUV made an abrupt and unsafe lane change to the right.,The driver of the black sedan failed to maintain a safe following distance.,Which of the following actions  would have been most effective in preventing this collision?,Accident Prevention,"The SUV maintains a safe following distance from the truck ahead, checks of all mirrors and blind spots before initiating the lane change.",The SUV accelerates quickly to overtake the truck before it can merge into the adjacent lane.
000206,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and a partly moist road surface.,Daytime with clear skies and a dry road surface.,Which of the following best describes the traffic environment where the accident took place?,Traffic Environment,On a rural roadway with high-speed travel.,On a residential street with moderate traffic and visible buildings.,What is the road configuration at the scene of the collision?,Road Configuration,"A multi-lane street with light traffic, parked cars nearby",two-lane road with moderate traffic and no parked vehicles visible,What type of collision is depicted in the video?,Accident Type,A series of T-bone and a head-on secondary accident.,rear-end collision followed by a sideswipe with a parked vehicle.,"According to the analysis of the vehicles' movements, what was the primary error that initiated the collision sequence?",Accident Cause,The silver car failed to yield the right-of-way while executing a left turn.,The black car accelerated unexpectedly while approaching the intersection.,What critical action by the driver of the dark (straight-moving) car could have contributed to preventing the accident or mitigating its severity?,Accident Prevention,"Driving at a lower, more appropriate speed for the wet road conditions.",Maintaining a greater following distance from the vehicle ahead.
000214,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and a dry road surface.,Evening with overcast skies and a wet road surface.,Which of the following best describes the traffic environment where the accident took place?,Traffic Environment,"Heavy, slow-moving traffic on an urban elevated road or main artery.",Light traffic on a rural highway with minimal surrounding structures.,What is the road configuration at the scene of the collision?,Road Configuration,"A multi-lane, two-way, straight expressway divided by isolation roadblock, with the collision occurring in one of the middle lanes.","multi-lane, two-way expressway with no physical divider, where the collision occurs in a left-side lane near an intersection.",What type of accident is depicted in the video,Accident Type,A rear-end collision where the camera vehicle hit the vehicle directly in front of it.,sideswipe collision where the camera vehicle made contact with the side of a vehicle in an adjacent lane.,What was the primary cause of this rear-end collision?,Accident Cause,The driver of the camera vehicle was following the van too closely and failed to react in time when it braked.,"The van in front suddenly changed lanes without signaling, causing the camera vehicle to collide.",Which action could have most effectively prevented this accident?,Accident Prevention,Maintaining a greater and safer following distance from the vehicle ahead.,Using the vehicle's braking system more aggressively to stop suddenly.
000215,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,"Dusk with rain, resulting in wet, reflective road surfaces and reduced visibility","Overcast skies with light fog, creating hazy visibility and damp road conditions",Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,A multi-lane urban expressway or arterial road with streetlights and moderate traffic,two-lane rural highway with minimal lighting and light traffic,What is the configuration of the road while crashing?,Road Configuration,"A straight multi-lane, two-way expressway in moderate traffic flow, with several entrances on the right side. A yellow solid line distinguishes the fast lane on the left side.","straight two-lane road with light traffic, featuring a dashed yellow center line and no visible entrances on the right side.",How can the collision between the silver SUV and the dark sedan be most accurately classified?,Accident Type,"A rear-end collision, where the SUV was struck by the sedan.","sideswipe collision, where the SUV and sedan made contact while traveling in the same direction.",What was the primary initiating cause of this accident?,Accident Cause,The silver SUV was incorrectly slowed down in the middle of the expressway to try to change lanes or exit,The black SUV entered the expressway from a side road without yielding to traffic,What single action by one of the drivers would have been most effective in preventing this crash?,Accident Prevention,he driver of the silver SUV should have stopped or slowed down significantly to check for and yield to mainline traffic before pulling off.,The driver of the black SUV should have maintained a greater following distance to allow more reaction time when approaching the intersection.
000220,"Based on the video, what are the prevailing weather and light conditions?",Weather & Light,"Overcast daylight with snow accumulated on the roadsides, limited lighting.",Clear daylight with snow-covered roadsides and bright ambient lighting,Which of the following best describes the traffic environment where the accident occurs?,Traffic Environment,A suburban road with tall street trees and low houses,city street with dense traffic and tall buildings on both sides,What is the layout of the road at the point of the collision?,Road Configuration,A T-intersection where a side road in the left joins a two-lane main road with heavy oncoming traffic.,four-way intersection with traffic lights and vehicles approaching from all directions.,What type of collision occurs in the video?,Accident Type,"A rear-end collision, where the front of the ego-ocar struck the back of the minivan.","sideswipe collision, where the ego-vehicle made lateral contact with the side of the minivan.",What is the primary and most direct cause of this accident?,Accident Cause,The driver of the dark sedan pulled out from a side road without yielding the right-of-way.,The driver of the dark sedan failed to maintain a safe following distance behind the vehicle ahead.,What action would have most effectively prevented this collision?,Accident Prevention,The dark sedan stops completely at the edge of the main road to check for and yield to oncoming traffic.,"The dark sedan slows down but continues moving forward without stopping, allowing it to merge into traffic ahead of oncoming vehicles."
000234,"Based on the visual evidence in the video, what were the prevailing weather and light conditions at the time of the incident?",Weather & Light,"It was daytime with clear, sunny conditions and good visibility.",It was daytime with overcast skies and moderate visibility due to light cloud cover.,Which of the following best describes the traffic environment where the collision takes place?,Traffic Environment,An urban street with residential buildings and infrastructure nearby.,suburban road with low-rise houses and minimal traffic signals.,What is the configuration of the road at the location of the accident?,Road Configuration,A samll T-junction on the right side with plenty of parked cars on the edge of the road,wide intersection with a roundabout and minimal parked vehicles along the sides,How can the collision shown in the video be most accurately classified?,Accident Type,"A T-bone accident occurred when the yellow car, pulling into a traffic lane, was struck on its side.","sideswipe collision occurred when the yellow car, moving parallel to traffic, made contact with the side of another vehicle.",What was the primary and most direct cause of this accident?,Accident Cause,The yellow car entered a lane of moving traffic from the roadside without yielding the right-of-way.,The driver of the black car failed to maintain a safe following distance while approaching the intersection.,What is the most critical action the driver of the yellow car should have taken to prevent this collision?,Accident Prevention,The yellow car waits for a safe gap in traffic before entering the lane.,The yellow car should have signaled its intention to merge earlier to alert other drivers.
000243,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Dusk or nighttime with wet roads and accumulated snow on the roadsides.,"Daytime with clear skies and dry roads, despite some snow on the sidewalks.",Which of the following best describes the traffic environment where the accident takes place?,Traffic Environment,A signal-controlled intersection on a multi-lane urban road.,residential street with no traffic signals and low vehicle density.,What is the physical layout of the location where the collision occurs?,Road Configuration,A four-way intersection where two roads of equal size cross.,three-way intersection where a minor road merges with a main thoroughfare.,"Based on the way the two vehicles collided, how is this accident best classified?",Accident Type,"A side-impact collision, often referred to as a 'T-bone'","rear-end collision, where one vehicle strikes the back of another",What was the primary and direct cause of this collision?,Accident Cause,The sedan in the same way performed a rash turn while vision was obstructed,The sedan failed to yield at the intersection while making a left turn,What single action by the at-fault driver would have most directly and effectively prevented this accident?,Accident Prevention,The ahead vehicle turns after carfully observing oncoming traffic,The ahead vehicle maintains a steady speed without changing lanes
000244,"Based on the visual evidence, what were the weather and lighting conditions at the time of the accident?",Weather & Light,It was daytime with an overcast/cloudy sky and dry road conditions.,It was daytime with a clear sky and wet road conditions.,Which of the following best describes the traffic environment where the collision occurred,Traffic Environment,An urban multi-lane arterial road.,suburban road with light traffic and single-family homes.,What is the configuration of the road where the incident takes place?,Road Configuration,"A busy straight, multi-lane urban road with a construction zone in the middle of the road.",busy multi-lane urban road with a divided median and no visible construction activity.,What type of accident is depicted in the video?,Accident Type,A sideswipe collision of the black SUV and the front of the truck.,rear-end collision between the black SUV and the truck.,What was the primary and most direct cause of this collision?,Accident Cause,"The black SUV executed an aggressive and unsafe lane change with insufficient space, cutting into the truck's path.","The truck failed to maintain a safe following distance and suddenly braked, causing the SUV to collide with its side.",How could this accident most effectively have been prevented?,Accident Prevention,The black SUV maintains their lane and overtakes the truck only when the adjacent lane is completely clear for a long distance.,"The red SUV slows down and stays in the right lane, allowing the truck to proceed without obstruction."
000246,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with overcast skies and a wet road surface.,Daytime with clear skies and a dry road surface.,Which of the following best describes the traffic environment where the accident took place?,Traffic Environment,"An urban area main road,with low-rise residential buildings on the roadside",suburban arterial road with commercial buildings and wide sidewalks on both sides,What is the configuration of the road where the collision happened?,Road Configuration,"A multi-lane arterial road with a signal-controlled intersection ,and with moderate traffic, including other cars and a bus.","two-lane residential street with a stop sign-controlled intersection and light traffic, including a few cars and a delivery van.",How can the type of accident shown in the video be classified?,Accident Type,"A T-bone collision, where the front of the straight-traveling ego vehicle struck the side of the left-turning van.","sideswipe collision, where the ego vehicle and the van made lateral contact while traveling in the same direction.",What was the primary cause of this accident?,Accident Cause,The van driver failed to yield the right-of-way to oncoming traffic while making a left turn.,"The sedan driver accelerated unexpectedly, causing the van to swerve into the oncoming lane.",What was the most critical action of the participants could have taken to prevent this collision?,Accident Prevention,The turning van waits for the oncoming straight traffic to clear the intersection before initiating the left turn.,The oncoming vehicle should have yielded to the turning van by slowing down or stopping before entering the intersection.
000247,"Based on the video, what were the environmental conditions at the time of the incident?",Weather & Light,"Daytime with heavy snowfall, resulting in low visibility and snow-covered roads.",Daytime with light snowfall and clear visibility on partially cleared roads.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A rural or suburban arterial road with overhead trolleybus lines, commercial buildings, and other heavy vehicles.","snow-covered urban intersection with traffic lights, commercial signage, and a mix of passenger vehicles and trucks.",What is the configuration of the road where the incident takes place?,Road Configuration,"A signalized intersection with truck and tram, but lane markings are obscured by heavy snow cover.","multi-lane road with tram tracks and traffic signals, but lane markings are clearly visible despite the snow.",How can the collision shown in the video be best classified?,Accident Type,"A head-on collision, preceded by one vehicle losing control, spinning, and crossing into the opposing traffic lane.",sideswipe collision occurring between two vehicles traveling in the same direction on a snowy road.,What was the most direct cause of the accident?,Accident Cause,"The dark-coloured sedan lost control and was driving at an excessive speed on the hazardous, snow-covered road.",The dark-coloured sedan failed to yield at the intersection due to poor visibility from the heavy snowfall.,What is the most crucial action the driver of the dark sedan could have taken to prevent this accident?,Accident Prevention,"Significantly reducing speed to a level appropriate for the icy and snowy conditions, and making gentle steering/braking inputs.",Maintaining a safe following distance behind the vehicle ahead while driving at a moderate speed on the snowy road.
000250,"Based on the visual information in the video, what were the prevailing weather and lighting conditions?",Weather & Light,Clear daytime conditions with good visibility and dry roads.,Overcast conditions with moderate cloud cover and dry pavement.,Which of the following best describes the traffic environment at the moment of the collision?,Traffic Environment,A complicated suburban bumpy road with construction sites and low-rise buildings.,busy urban intersection with multi-story buildings and heavy pedestrian traffic.,What is the configuration of the road segment where the incident occurs?,Road Configuration,"Traffic lights at intersections with disorderly traffic conditions, no clear lane markings",Traffic lights at intersections with clear lane markings and moderate traffic flow,What type of collision is shown in the video?,Accident Type,A head-on collision between ego-car and a car performing a lane-changing maneuver.,sideswipe collision between the ego-car and a vehicle changing lanes from the adjacent lane.,What was the primary and most direct cause of this accident?,Accident Cause,The oncoming SUV lost concentration and failed to noticing oncoming vehicles when turning,The black SUV failed to yield the right of way while making a left turn across traffic,What action would have most effectively prevented this collision?,Accident Prevention,The oncoming minivan waits for a safe and adequate gap in traffic before attempting to change lanes.,The driver of the black SUV maintains a steady speed and stays in their lane without attempting to change lanes.
000251,"Based on the visual information in the video, what were the prevailing weather and lighting conditions?",Weather & Light,Clear daytime conditions with good visibility and dry roads.,Overcast evening conditions with moderate visibility and wet pavement.,Which of the following best describes the traffic environment at the moment of the collision?,Traffic Environment,An urban main road with apartments and commercial buildings nearby,residential street with low-rise houses and minimal commercial activity,What is the configuration of the road segment where the incident occurs?,Road Configuration,"A congested, straight, multi-lane road with at least three lanes in the same direction and slow-moving traffic.","wide, straight road with two lanes in each direction and moderate traffic flow.",What type of collision is shown in the video?,Accident Type,A rear-end collision in the right lane,side-impact collision in the left lane,What was the primary and most direct cause of this accident?,Accident Cause,The grey sedan failed to keep a safe ditance with the front SUV.,"The grey sedan turned left without signaling, causing a collision with the vehicle in the adjacent lane.",What action would have most effectively prevented this collision?,Accident Prevention,The sedan slows down in heavy traffic,The sedan maintains a steady speed in heavy traffic
000255,What are the prevailing weather and road conditions shown in the video?,Weather & Light,"Snowy daytime with overcast skies, and a wet road surface, and reduced lighting,","Snowy daytime with clear skies, and a dry road surface, and bright lighting",Which description accurately represents the traffic environment visible in the video?,Traffic Environment,"A suburban road in a residential area, with trees and houses nalongside the road.",snowy urban street with commercial buildings and a bus stop visible on the side of the road.,What is the configuration of the road on which the accident occurs?,Road Configuration,"A two-way straight, narrow road with vehicle lanes running parallel to tram tracks.mixed vehicle traffic, and a pedestrian crossing.","two-way road with a central divider, tram tracks on the side, and mixed traffic including buses and cars.",Which term best classifies the type of collision that takes place?,Accident Type,ear-end collision,side-swipe collision,What is the primary contributing factor to this collision?,Accident Cause,The ego-vehicle following the truck too closely for the snowy and wet road conditions.,The truck suddenly braking due to a pedestrian crossing the road ahead.,Which of the following actions would have been most effective in preventing this accident?,Accident Prevention,The ego car increases the following distance from the blue truck to account for the slippery road.,The ego car maintains a steady speed while following the blue truck on the wet road.
000256,"Based on the video, which of the following best describes the weather and road conditions at the time of the incident?",Weather & Light,"Daytime with overcast skies, and the road surface appears wet and slippery with snow on the roadside.","Daytime with clear skies, and the road surface appears dry and icy with no visible snow on the roadside.",Traffic Environment,Traffic Environment,"Moderate traffic on a wide hard-surfaced rural roads, the surrounding area is open, including trees and high-voltage power poles","Heavy traffic on a narrow snow-covered urban road, with buildings and streetlights lining both sides of the roadway",What is the road configuration at the location where the initial hazardous situation was created?,Road Configuration,"A T-junction or an exit ramp where a side road merges into a multi-lane main road from the right, moderate traffic with a mixed car types.","multi-lane highway with a central divider and vehicles traveling in both directions, light traffic primarily composed of passenger cars and small trucks.",How can the final collision be best classified?,Accident Type,"A rear-end collision, which occurred as part of a chain reaction initiated by another vehicle's unsafe merging maneuver","sideswipe collision, caused by a vehicle drifting into the adjacent lane due to slippery road conditions",What was the primary action that triggered the collision?,Accident Cause,"The sedan in front is in the blind spot of t he white semi-truck, causing the T-bone by the truck.","The sedan suddenly changed lanes without signaling, leading to a collision with the white semi-truck.",Which of the following actions would have been the most effective in preventing this accident from happening at all?,Accident Prevention,The semi-truck driver should have been checking the surrounding traffic before merging.,The car driver should have maintained a greater following distance behind the vehicle ahead.
000259,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Dusk with clear visibility and a dry road surface.,Daytime with moderate fog and wet road surface.,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"A wide, elevated urban expressway with construction zone and low buildings beside the edge of the road.","multi-lane urban road with moderate traffic and buildings on both sides, but no visible construction activity.",What is the configuration of the road section where the collision takes place?,Road Configuration,"A multi-lane, one-way roadway or expressway with moderate to heavy traffic flow.","two-lane, bidirectional roadway with light traffic and a central median divider.",What type of collision occurred between the white and red vehicles?,Accident Type,A sideswipe collision resulting from a sudden rush.,rear-end collision caused by sudden braking.,What was the primary and direct cause of this accident?,Accident Cause,The former car performed a suden and reckless stop with its car headlight fuilure.,"The vehicle in the adjacent lane suddenly changed lanes without signaling, causing a collision.",What is the most critical action the drivers in the video should have taken to prevent this crash?,Accident Prevention,The red car's driver should ensure the car functions well before starting drive.,The driver of the white car should have maintained a safe following distance to avoid sudden braking.
000260,What are the weather and lighting conditions at the time of the incident?,Weather & Light,Gloomy sky during the daytime with a dry road surface.,Overcast sky during the evening with a wet road surface.,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"An urban arterial road with trees, buildings, and other vehicles.","suburban residential street with houses, lawns, and minimal traffic.",hat is the configuration of the road where the collision happens?,Road Configuration,"A two-way, multi-lane straight road with no central median, at an intersection controlled by traffic lights.","two-way, multi-lane straight road with a central median, at an intersection controlled by traffic lights.","Based on the video, what type of collision occurred?",Accident Type,A side-impact (T-bone) collision where the motorcycle's front hit the car's side.,rear-end collision where the motorcycle struck the back of the car.,What was the primary cause that triggered the chain of events leading to the collision?,Accident Cause,"The traffic management system hasn't been designed well in the intersection, causing traffic conflict.",The driver of the white car failed to yield the right of way when entering the intersection.,What action could have most effectively prevented this collision?,Accident Prevention,The POV car waits for the straight-through motorcycle to safely pass before initiating the turn.,The motorcycle should have slowed down to avoid the turning vehicle.
000264,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurred during the daytime under gloomy skies with decresed light.,The incident occurred during the daytime under clear skies with bright sunlight.,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,Suburban or rural area with tress and decentralized buildings scattered far away.,"Urban area with dense traffic, streetlights, and commercial buildings lining the road.",What is the configuration of the road where the accident takes place?,Road Configuration,"A two-way curved road in moderate traffic, with at least two lanes in each direction, vehicles merging from the right.","straight multi-lane road with moderate traffic, featuring vehicles merging from the left and a central median divider.",How can the type of accident seen in the video be most accurately classified?,Accident Type,A series of side-impact accidents involving four vehicles,multi-vehicle collision involving a rear-end impact and lateral displacement,What was the primary contributing factor from Participant B (the green MPV) that led to the crash?,Accident Cause,The light-colored car abruptly entered the main lanes of traffic from the shoulder without yielding.,The green MPV failed to maintain a safe following distance behind the vehicle ahead.,What critical action could have prevented this collision?,Accident Prevention,The maneuvering car waits the shoulder until the main road was clear of traffic before attempting the maneuver.,The car on the shoulder should have signaled earlier to alert other drivers before merging into traffic.
