video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q1_ans_wrong4,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q2_ans_wrong4,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q3_ans_wrong4,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q4_ans_wrong4,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q5_ans_wrong4,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3,q6_ans_wrong4
000250,"Based on the visual information in the video, what were the prevailing weather and lighting conditions?",Weather & Light,Clear daytime conditions with good visibility and dry roads.,Overcast daytime conditions with moderate visibility and wet pavement,Nighttime conditions with limited lighting and dry roads,Partly cloudy weather with good visibility but icy road surfaces,Bright daylight with clear skies and damp roads due to recent rain,Which of the following best describes the traffic environment at the moment of the collision?,Traffic Environment,A complicated suburban bumpy road with construction sites and low-rise buildings.,busy urban intersection with multiple lanes and traffic signals,quiet residential street lined with trees and parked cars,"suburban road with construction barriers and a small building, but smooth pavement and no visible damage",narrow alleyway with high-rise buildings and limited visibility,What is the configuration of the road segment where the incident occurs?,Road Configuration,"Traffic lights at intersections with disorderly traffic conditions, no clear lane markings",Traffic lights at intersections with clear lane markings and orderly traffic flow,Well-marked road segments with traffic signals and organized vehicle movement,"Intersections with traffic lights and visible lane dividers, but poor pedestrian control","Roads with signalized intersections and minimal traffic congestion, despite unclear signage",What type of collision is shown in the video?,Accident Type,A head-on collision between ego-car and a car performing a lane-changing maneuver.,side-swipe collision between the ego-car and a vehicle traveling in the same direction.,rear-end collision caused by the ego-car failing to maintain safe distance.,head-on collision between the ego-car and a car that was merging into the lane from the right.,T-bone collision resulting from the ego-car turning left while another vehicle proceeded straight.,What was the primary and most direct cause of this accident?,Accident Cause,The oncoming SUV lost concentration and failed to noticing oncoming vehicles when turning,"The black SUV made a sudden turn without signaling, causing the oncoming vehicle to swerve",The driver of the sedan failed to maintain a safe distance and collided with the SUV,The accident occurred because the SUV was turning left while the sedan was moving straight,"The intersection had poor visibility due to construction, leading to the collision",What action would have most effectively prevented this collision?,Accident Prevention,The oncoming minivan waits for a safe and adequate gap in traffic before attempting to change lanes.,The driver of the SUV maintains a steady speed while approaching the intersection.,The minivan signals its intention to change lanes before entering traffic.,The oncoming vehicle should have accelerated to avoid the collision.,The driver should have checked the blind spot before proceeding through the intersection.
000251,"Based on the visual information in the video, what were the prevailing weather and lighting conditions?",Weather & Light,Clear daytime conditions with good visibility and dry roads.,Overcast conditions with moderate lighting and wet pavement,Daytime with reduced visibility due to fog and light rain,Clear skies but dim lighting from approaching dusk and dry roads,Bright sunlight with glare affecting visibility and dry road surface,Which of the following best describes the traffic environment at the moment of the collision?,Traffic Environment,An urban main road with apartments and commercial buildings nearby,residential street with low-speed traffic and no commercial activity nearby,highway with multiple lanes and limited access points,busy intersection in a commercial district with heavy pedestrian traffic,suburban area with single-family homes and minimal vehicle flow,What is the configuration of the road segment where the incident occurs?,Road Configuration,"A congested, straight, multi-lane road with at least three lanes in the same direction and slow-moving traffic.","wide, straight road with multiple lanes but light traffic and no visible congestion.","curved, two-lane road with moderate traffic and clear visibility ahead.","multi-lane road with heavy traffic, but the incident occurred due to a sudden lane change in a straight section.",narrow urban street with parked cars on both sides and limited visibility at intersections.,What type of collision is shown in the video?,Accident Type,A rear-end collision in the right lane,side-swipe collision in the left lane,head-on collision involving two vehicles,rear-end collision in the left lane,T-bone collision at the intersection,What was the primary and most direct cause of this accident?,Accident Cause,The grey sedan failed to keep a safe ditance with the front SUV.,"The SUV suddenly braked without warning, causing the sedan to collide from behind.","The grey sedan was driving at an excessive speed, which led to the collision with the SUV.","The accident occurred because the SUV changed lanes without signaling, forcing the sedan to react abruptly.","The driver of the grey sedan was distracted by a mobile phone, resulting in loss of control during braking.",What action would have most effectively prevented this collision?,Accident Prevention,The sedan slows down in heavy traffic,The sedan maintains a safe distance from the vehicle ahead,The sedan accelerates to avoid being hit from behind,The sedan changes lanes abruptly to pass slower traffic,The sedan stops suddenly when the light turns yellow
000255,What are the prevailing weather and road conditions shown in the video?,Weather & Light,"Snowy daytime with overcast skies, and a wet road surface, and reduced lighting,","Snowy daytime with clear skies and dry road surface, resulting in good visibility","Rainy evening with overcast skies and a wet road surface, causing reduced lighting","Snowy daytime with overcast skies and dry pavement, leading to moderate visibility","Clear daytime with scattered clouds and icy road conditions, improving driving visibility",Which description accurately represents the traffic environment visible in the video?,Traffic Environment,"A suburban road in a residential area, with trees and houses nalongside the road.",snowy urban street with commercial buildings and heavy traffic,rural highway surrounded by open fields and sparse vegetation,"residential road with houses and trees, but covered in ice and snow",city intersection with traffic lights and pedestrian crossings,What is the configuration of the road on which the accident occurs?,Road Configuration,"A two-way straight, narrow road with vehicle lanes running parallel to tram tracks.mixed vehicle traffic, and a pedestrian crossing.","two-way road with tram tracks running parallel to the vehicle lanes, but without a pedestrian crossing and featuring mixed traffic flow.","one-way road with vehicle lanes separated from tram tracks by a median, including a pedestrian crossing and moderate traffic volume.","two-way straight road with tram tracks on both sides of the roadway, mixed vehicle traffic, and no visible pedestrian crossing.","multi-lane divided highway with tram tracks integrated into the center divider, heavy traffic, and pedestrian crossings at regular intervals.",Which term best classifies the type of collision that takes place?,Accident Type,ear-end collision,side-swipe collision,rear-end collision caused by slippery road conditions,collision involving a long vehicle and multiple cars,bone collision at an intersection,What is the primary contributing factor to this collision?,Accident Cause,The ego-vehicle following the truck too closely for the snowy and wet road conditions.,The truck suddenly braking without warning on the slippery road.,The collision caused the ego-vehicle to lose control due to reduced traction.,"The ego-vehicle was following too closely, but the road conditions were not a significant factor.",The driver of the truck failed to maintain a safe distance from the vehicle ahead.,Which of the following actions would have been most effective in preventing this accident?,Accident Prevention,The ego car increases the following distance from the blue truck to account for the slippery road.,The ego car reduces speed gradually while maintaining a normal following distance behind the blue truck.,"The blue truck suddenly brakes, causing the ego car to react by increasing its following distance.",The ego car increases the following distance from the blue truck but fails to adjust for the slippery road conditions.,The ego car follows closely behind the blue truck to maintain lane position and avoid being passed.
000256,"Based on the video, which of the following best describes the weather and road conditions at the time of the incident?",Weather & Light,"Daytime with overcast skies, and the road surface appears wet and slippery with snow on the roadside.","Daytime with clear skies, and the road surface is dry with no visible snow on the roadside.","Nighttime with heavy rainfall, and the road appears wet and reflective due to water accumulation.","Daytime with overcast skies, and the road surface is dry but has patches of ice near the shoulder.","Daytime with light snowfall, and the road is partially covered in fresh snow with reduced visibility.",Traffic Environment,Traffic Environment,"Moderate traffic on a wide hard-surfaced rural roads, the surrounding area is open, including trees and high-voltage power poles",Heavy traffic on a narrow rural road with snow-covered shoulders and limited visibility due to fog,Light traffic on a wide urban highway with tall buildings and streetlights along both sides,"Moderate traffic on a paved rural road with trees and power lines, but the road surface is icy and slippery","Busy traffic on a two-lane road surrounded by open fields and utility poles, with no visible snow or ice on the road",What is the road configuration at the location where the initial hazardous situation was created?,Road Configuration,"A T-junction or an exit ramp where a side road merges into a multi-lane main road from the right, moderate traffic with a mixed car types.","roundabout with multiple entry points and moderate traffic flow, featuring a mix of passenger vehicles and commercial trucks.","multi-lane highway with a central divider where a vehicle suddenly changed lanes without signaling, causing a near-collision.","T-junction where a side road merges into the main road from the left, with heavy traffic consisting mainly of cars and light trucks.","An intersection with stop signs on all approaches, where a car failed to yield, resulting in a hazardous situation.",How can the final collision be best classified?,Accident Type,"A rear-end collision, which occurred as part of a chain reaction initiated by another vehicle's unsafe merging maneuver",side-swipe collision caused by a vehicle drifting into the adjacent lane during heavy traffic,"rear-end collision triggered by sudden braking due to icy road conditions, unrelated to merging behavior","T-bone collision resulting from a vehicle failing to yield at an intersection, initiating a chain reaction","frontal collision between two vehicles moving in opposite directions, occurring after a failed lane change",What was the primary action that triggered the collision?,Accident Cause,"The sedan in front is in the blind spot of t he white semi-truck, causing the T-bone by the truck.","The sedan swerved into the truck's lane due to icy road conditions, leading to a side impact.","The white semi-truck suddenly braked, causing the sedan behind it to collide from the rear.","The sedan was positioned in the blind spot of the semi-truck, but the collision occurred because the truck failed to check its mirrors.","The sedan attempted to overtake the truck on the right, resulting in a lateral collision.",Which of the following actions would have been the most effective in preventing this accident from happening at all?,Accident Prevention,The semi-truck driver should have been checking the surrounding traffic before merging.,The car driver should have slowed down to avoid sudden braking.,The semi-truck driver should have merged only after the accident occurred.,The traffic light should have been installed at the intersection to control vehicle flow.,The car driver should have maintained a greater distance from the vehicle ahead.
000259,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Dusk with clear visibility and a dry road surface.,Daytime with moderate rain and wet road surface,Nighttime with low visibility due to fog and streetlights,Early morning with bright sunlight and a dry road surface,Overcast conditions with poor lighting and scattered puddles on the road,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"A wide, elevated urban expressway with construction zone and low buildings beside the edge of the road.",multi-lane urban road with heavy traffic and tall residential buildings on both sides,"narrow, elevated highway with no visible construction activity and open fields nearby",wide city street with construction barriers on the left side and commercial buildings along the right edge,busy urban intersection with traffic signals and pedestrian crossings at ground level,What is the configuration of the road section where the collision takes place?,Road Configuration,"A multi-lane, one-way roadway or expressway with moderate to heavy traffic flow.","two-lane, bidirectional roadway with light traffic flow and no median barrier.",multi-lane highway with heavy congestion caused by a previous collision upstream.,divided expressway with multiple lanes in each direction and moderate traffic density.,narrow urban street with frequent intersections and mixed traffic including pedestrians and cyclists.,What type of collision occurred between the white and red vehicles?,Accident Type,A sideswipe collision resulting from a sudden rush.,rear-end collision caused by the red vehicle braking suddenly,sideswipe collision due to the white vehicle changing lanes improperly,T-bone collision resulting from the red vehicle accelerating into the path of the white vehicle,sideswipe collision triggered by the red vehicle swerving to avoid an obstacle,What was the primary and direct cause of this accident?,Accident Cause,The former car performed a suden and reckless stop with its car headlight fuilure.,The rear car failed to maintain a safe distance and collided with the vehicle in front.,The accident occurred because the driver was distracted by a mobile phone while driving.,"The former car had a headlight failure, which contributed to the collision.","The vehicle in front suddenly changed lanes without signaling, causing the crash.",What is the most critical action the drivers in the video should have taken to prevent this crash?,Accident Prevention,The red car's driver should ensure the car functions well before starting drive.,The red car's driver should have maintained a safe distance from the vehicle ahead to avoid sudden braking.,"The crash occurred because the red car was not properly maintained, so regular inspections are essential.","The driver of the red car should have checked the brakes before driving, but also ensured all passengers were seated safely.","The red car's driver should have focused on the road and avoided distractions, which is key to preventing accidents."
000260,What are the weather and lighting conditions at the time of the incident?,Weather & Light,Gloomy sky during the daytime with a dry road surface.,Overcast sky during the evening with a wet road surface.,Clear sky during the daytime with dry pavement and bright sunlight.,Partly cloudy conditions at night with a dry road surface.,Cloudy weather during the daytime with rain falling on the road.,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"An urban arterial road with trees, buildings, and other vehicles.",suburban residential street with low traffic and no visible buildings,"highway with multiple lanes, minimal vegetation, and high-speed vehicles","city intersection with traffic lights, pedestrians, and a mix of cars and motorcycles",rural two-lane road surrounded by open fields and sparse trees,hat is the configuration of the road where the collision happens?,Road Configuration,"A two-way, multi-lane straight road with no central median, at an intersection controlled by traffic lights.","two-way, single-lane road with a central median and stop signs at the intersection.","one-way, multi-lane road with traffic signals and a divided center line.","two-way, multi-lane road with no central median, but controlled by yield signs instead of traffic lights.",four-way intersection with roundabout design and no traffic signals present.,"Based on the video, what type of collision occurred?",Accident Type,A side-impact (T-bone) collision where the motorcycle's front hit the car's side.,rear-end collision where the motorcycle struck the back of the car,head-on collision between the motorcycle and the car traveling in the opposite direction,side-impact collision where the car's front hit the motorcycle's side,sideswipe collision that occurred while both vehicles were moving in the same direction,What was the primary cause that triggered the chain of events leading to the collision?,Accident Cause,"The traffic management system hasn't been designed well in the intersection, causing traffic conflict.",The driver failed to yield the right of way when entering the intersection.,The collision occurred because the vehicle was traveling at an excessive speed.,Poor visibility due to weather conditions contributed to the driver's inability to react in time.,"The traffic light malfunctioned, causing confusion among drivers approaching the intersection.",What action could have most effectively prevented this collision?,Accident Prevention,The POV car waits for the straight-through motorcycle to safely pass before initiating the turn.,The motorcycle should have slowed down to avoid the turning vehicle.,The POV car could have completed the turn before the motorcycle entered the intersection.,The driver should have signaled earlier to alert the motorcycle of the upcoming turn.,The motorcycle should have stayed in the right lane to prevent crossing paths with turning vehicles.
000264,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurred during the daytime under gloomy skies with decresed light.,The incident occurred during the daytime under clear skies with bright sunlight.,The incident occurred during the nighttime with overcast skies and reduced visibility.,The incident occurred during the daytime with partly cloudy skies and moderate lighting.,The incident occurred during the early morning with foggy conditions and low light levels.,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,Suburban or rural area with tress and decentralized buildings scattered far away.,Urban area with dense traffic and multiple intersections,Highway environment with high-speed lanes and limited access points,mixed-use zone with commercial buildings and heavy pedestrian activity,Residential neighborhood with narrow roads and frequent parked vehicles,What is the configuration of the road where the accident takes place?,Road Configuration,"A two-way curved road in moderate traffic, with at least two lanes in each direction, vehicles merging from the right.",straight multi-lane road with light traffic and vehicles entering from the left side,"two-way road with a sharp curve and heavy congestion, where vehicles are merging from the left",divided highway with moderate traffic and vehicles changing lanes in both directions,narrow two-lane road with minimal traffic and no visible merging vehicles,How can the type of accident seen in the video be most accurately classified?,Accident Type,A series of side-impact accidents involving four vehicles,rear-end collision involving multiple vehicles on a curved roadway,chain-reaction accident caused by a vehicle suddenly stopping in traffic,side-impact crash between two cars with no involvement of additional vehicles,multi-vehicle pileup resulting from poor visibility and wet road conditions,What was the primary contributing factor from Participant B (the green MPV) that led to the crash?,Accident Cause,The light-colored car abruptly entered the main lanes of traffic from the shoulder without yielding.,The green MPV failed to maintain a safe following distance behind the vehicle ahead.,The light-colored car was forced to swerve due to the sudden appearance of the green MPV in its lane.,The green MPV attempted to merge into traffic but did not signal before changing lanes.,The driver of the green MPV was distracted by a mobile phone while approaching the intersection.,What critical action could have prevented this collision?,Accident Prevention,The maneuvering car waits the shoulder until the main road was clear of traffic before attempting the maneuver.,The driver on the main road should have slowed down to allow the merging vehicle to enter safely.,The maneuvering car could have signaled earlier to alert other drivers of its intent to merge.,The collision could have been avoided if the car on the shoulder had accelerated quickly into the lane.,The vehicle in the right lane should have maintained a greater distance from the car ahead to improve visibility.
000267,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurred during the daytime under overcast skies with good visibility.,The incident occurred during the evening under clear skies with moderate visibility.,The incident took place in the daytime with heavy rainfall and reduced visibility due to wet roads.,"The incident happened during daylight hours under cloudy conditions, but visibility was poor due to fog.",The incident occurred at night with overcast skies and limited street lighting.,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,"An urban street through residential zone, with vehicles parked along the right side, narrowing the available road space.","multi-lane highway with no parked vehicles and wide shoulders, allowing for high-speed travel.",narrow residential alley with limited visibility due to tall buildings on both sides and no designated parking areas.,"An urban street with vehicles parked along both sides, creating a symmetrical reduction in road width.","busy commercial district intersection with traffic signals, pedestrian crossings, and heavy foot traffic.",What is the configuration of the road where the accident takes place?,Road Configuration,"A two-way road with at least two lanes in each direction, separated by a solid white line.",one-way road with multiple lanes and a dashed yellow center line.,two-way road with a single lane in each direction separated by a broken white line.,"divided highway with a median barrier and four lanes total, two in each direction.",two-way road with at least two lanes per direction but separated by a dashed white line.,How can the type of accident seen in the video be most accurately classified?,Accident Type,A loss-of-control incident where a moving vehicle crosses into the opposing lane and strikes merging SUV.,rear-end collision where a vehicle strikes the back of a stationary car at a stop sign.,sideswipe incident caused by a vehicle drifting into the adjacent lane while turning.,merging conflict where an SUV enters the roadway without yielding to oncoming traffic.,loss-of-control event resulting from sudden braking that causes a vehicle to spin out of control.,"Based on the silver car's sudden and sharp turn, what is the most likely direct cause of the accident?",Accident Cause,"A catastrophic mechanical failure (e.g., tire blowout, steering linkage failure) or a sudden medical emergency affecting the driver.",sudden loss of traction due to wet road conditions causing the car to skid and turn sharply.,The driver’s failure to maintain a safe distance from the vehicle ahead led to an evasive maneuver.,"An unexpected obstacle in the road prompted the driver to make a rapid correction, resulting in the sharp turn.",The silver car was attempting to avoid a collision with another vehicle that suddenly changed lanes.,"Considering the most probable root cause of this type of abrupt loss of control, what is a primary measure for prevention?",Accident Prevention,"Conducting regular vehicle maintenance with a focus on tires, suspension, and steering components.",Implementing advanced driver assistance systems to detect sudden changes in vehicle dynamics.,Maintaining a safe following distance to allow sufficient reaction time during unexpected maneuvers.,Ensuring proper tire pressure and alignment while also adjusting driving behavior based on road conditions.,Avoiding abrupt steering inputs and sudden braking to prevent loss of traction during normal driving.
000274,"Based on the video, what were the weather and lighting conditions when the incident occurred?",Weather & Light,Daytime with clear skies and good visibility.,Nighttime with heavy fog and limited visibility,Early morning with overcast skies and moderate lighting,Daytime with light rain and reduced visibility,Overcast afternoon with bright sunlight and clear visibility,Which of the following best describes the traffic environment where the collision happened?,Traffic Environment,"An urban/suburban road with traffic, a shoulder for parking, and a green belt.",rural road with minimal traffic and no visible shoulders or green areas,"highway with multiple lanes, high-speed traffic, and no pedestrian zones",residential street with parked cars along both sides and a sidewalk but no green belt,"An urban intersection with traffic lights, crosswalks, and heavy vehicle flow",What is the road configuration for the ego vehicle's lane just before the collision.,Road Configuration,A standard through-traffic lane on a multi-lane road.,dedicated turn-only lane on a multi-lane road.,two-way road with opposing traffic in the same lane.,shared lane with parking spaces on the right side.,narrow single-lane road with no marked lanes.,What type of accident occurs in the video?,Accident Type,A rear-end collision caused by the front vehicle reversing into the stationary ego vehicle.,side-swipe collision occurs when the front vehicle shifts lanes and hits the ego vehicle's side.,"The ego vehicle reverses into the front vehicle, causing a rear-end collision.",rear-end collision happens because the ego vehicle fails to maintain a safe distance from the front vehicle.,"The front vehicle stops abruptly, leading to a frontal impact with the ego vehicle.",What is the primary cause of this collision?,Accident Cause,The driver of the white van reversed without properly checking for vehicles behind.,The driver of the white van failed to yield to traffic approaching from the side.,The collision occurred because the car in front suddenly braked without warning.,The white van reversed into the vehicle behind due to poor visibility caused by a blind spot.,The driver of the white van was distracted by passengers inside the vehicle during the maneuver.,Which action by the involved parties could have most effectively prevented this accident?,Accident Prevention,The driver of the white van should have checked their mirrors and blind spots before reversing.,The driver of the white van should have maintained a safe following distance from the vehicle ahead.,The pedestrian on the sidewalk should have moved away from the curb to avoid being struck.,"The driver of the white van should have used the reverse camera if available, but checking mirrors is not necessary.","The car in front should have signaled earlier to indicate it was stopping, preventing the van from colliding."
000276,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Daylight with a cloudy sky, good visibility, and a dry road surface.","Daylight with a clear sky, moderate visibility, and a wet road surface.",Twilight conditions with low visibility due to fading light and scattered clouds.,"Daylight with partial cloud cover, good visibility, but a damp road surface from recent rain.","Nighttime with artificial lighting, limited visibility, and dry pavement.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban thoroughfare with few tall buildings scatter around.,wide rural highway with minimal surrounding structures and open fields.,narrow urban street lined with dense commercial buildings and heavy pedestrian activity.,multi-lane city road with tall buildings densely packed along both sides of the roadway.,suburban arterial road with low-rise residential buildings and frequent intersections.,What is the physical layout of the road where the incident takes place?,Road Configuration,"A straight, multi-lane road divided by trams, with moderate, fast-moving traffic and vehicles parked alongside.","narrow, two-lane road with a central median and light traffic, featuring parked cars on both sides","curved, single-lane road with no dividing barriers and moderate traffic flow, where vehicles are moving slowly","straight, multi-lane road with tram tracks on the side and heavy traffic, but no vehicles parked along the curb","wide, divided highway with multiple lanes in each direction and no parked vehicles, surrounded by open space",What is the most accurate classification of this traffic accident?,Accident Type,"A rear-end collision where the red car was struck from behind, causing it to swerve.","side-swipe collision where the red car was hit on the driver's side, causing it to lose control.","rear-end collision where the red car struck the vehicle in front, leading to a swerve.",frontal impact where the red car was hit from behind and immediately stopped without swerving.,T-bone collision involving the red car and another vehicle at an intersection.,What was the most direct cause of the red car losing control and crashing?,Accident Cause,The driver of the ego car was speeding too high to maintain control.,The red car swerved to avoid a pedestrian crossing the road unexpectedly.,The crash occurred because the red car was hit from behind by another vehicle.,The driver of the red car lost control due to sudden braking while the ego car was speeding.,"The road surface was wet, causing reduced traction for the red car during the maneuver.",Which action by the driver of the red car would have been the most effective way to prevent this crash?,Accident Prevention,The POV car significantly reduces speed to a safe and controllable level before attempting to steer towards the parking area.,The driver of the red car should have accelerated quickly to avoid being hit by the POV car.,The POV car would have avoided the crash if it had steered sharply to the right without slowing down.,The red car could have prevented the collision by maintaining its speed and staying in the same lane.,The driver of the red car should have turned on their hazard lights to warn the POV car of their presence.
000278,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,lear daytime conditions with good visibility and a dry road surface.,Overcast conditions with reduced visibility due to light rain and a wet road surface.,Nighttime conditions with limited lighting and poor visibility caused by streetlight glare.,Clear daytime conditions with good visibility but a wet road surface from recent rainfall.,"Bright sunlight causing glare on the windshield, which contributed to reduced visibility during the incident.",Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban or town road with commercial buildings and parallel parking along the right side.,suburban road with residential houses and angled parking along the left side.,rural highway with open fields and no visible buildings on either side.,An urban road with commercial buildings and perpendicular parking on both sides.,city street with mixed-use buildings and a sidewalk lined with trees on the right side.,What is the configuration of the road just before the accident?,Road Configuration,"It was a two-way road with no land markings, with moderate traffic",It was a one-way road with clear lane markings and light traffic,The road had no center line but was a four-lane highway with heavy congestion,It was a two-way road with visible lane markings and moderate traffic,The road configuration included a divided median and was primarily used by commercial vehicles,How can the type of collision in the video be most accurately described?,Accident Type,A sideswipe collision where both vehicles were traveling parallel and one drifted into the other's lane.,rear-end collision where one vehicle failed to maintain a safe following distance.,T-bone collision occurring at an intersection when one vehicle entered the path of another perpendicularly.,sideswipe collision where one vehicle was changing lanes and the other remained in its original position.,head-on collision where both vehicles were traveling toward each other in opposite directions.,What was the primary contributing factor from both drivers that led to this accident?,Accident Cause,"he car driver failed to check for traffic when pulling out, and the motorcyclist was unsafely overtaking at high speed from the right shoulder.","The motorcyclist failed to maintain a safe distance while overtaking, and the car driver was distracted by a mobile phone.","The car driver suddenly accelerated into the lane, causing the motorcyclist to lose control and collide.","The motorcyclist was riding at high speed without proper protective gear, and the car driver did not signal before turning.","The car driver pulled out from a parked position without checking blind spots, and the motorcyclist was attempting to overtake on the left side.",Which combination of actions could have most effectively prevented this accident?,Accident Prevention,"The car driver should have thoroughly checked their mirror and blind spot before merging, and the motorcyclist should have avoided overtaking on the right shoulder.",The motorcyclist should have stayed in the left lane and the car driver should have slowed down before turning.,The car driver should have signaled earlier and the motorcyclist should have waited for a gap in traffic.,"The motorcyclist should have avoided overtaking on the right shoulder, but the car driver did not need to check their mirrors.",The accident could have been prevented if the car driver had yielded to the motorcyclist and maintained a safe distance.
000286,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"It is daytime with clear skies, but there is evidence of strong sun glare affecting visibility.","It is daytime with overcast skies, and there is no significant glare affecting visibility.",The strong sun glare is caused by the vehicle's headlights reflecting off the road surface.,"It is early morning with clear skies, and the sun glare is minimal due to the low angle of the sun.",The weather is sunny but visibility is reduced due to fog forming on the windshield.,Which of the following best describes the traffic environment shown in the video,Traffic Environment,A busy urban street with multiple lanes of traffic and mature trees lining the road.,wide suburban road with light traffic and young trees along the sidewalk,narrow city street with heavy pedestrian activity and no visible trees,multi-lane highway with high-speed traffic and minimal roadside vegetation,residential neighborhood with parked cars on both sides and few moving vehicles,What is the configuration of the road on which the incident occurs?,Road Configuration,"A multi-lane thoroughfare, with a dedicated tram or stop on the right side.",two-lane road with no dedicated public transit lanes on either side,single carriageway road with a tram stop located on the left-hand side,multi-lane road with a bus lane on the right but no visible tram infrastructure,wide arterial road with a central median and no designated stops for trams or buses,What type of accident occurs in the video?,Accident Type,A sideswipe collision between the lead car and the out-of-control bus that performed a sudden turn.,rear-end collision occurs when the lead car hits the bus from behind after the bus makes a sudden turn.,"The bus loses control and swerves into the lane of the lead car, causing a sideswipe due to the car's inability to react in time.","sideswipe collision happens between the lead car and the bus, which suddenly turns but does not lose control.","The lead car attempts to avoid a collision with the bus by making a sharp turn, resulting in a side impact.",What is the primary cause of this collision?,Accident Cause,The tram out of control and cut in to the ego-car's lane.,The ego-car suddenly accelerated into the tram's path.,"The tram stopped abruptly, causing the ego-car to collide.",The ego-car failed to maintain a safe distance from the tram ahead.,The tram was making a left turn when the ego-car entered the intersection.,Which action would have been most effective in preventing this accident?,Accident Prevention,The bus should constantly check its functional sections to ensure it works well.,The bus should have increased its speed to avoid the vehicle in front.,The driver of the car should have checked the rearview mirror more frequently.,The bus should have signaled earlier to indicate its intention to turn.,The accident could have been prevented if the car had maintained a greater following distance.
000300,What were the primary weather and lighting conditions that posed a significant hazard at the time of the accident?,Weather & Light,A foggy day with snow and severe sun glare directly facing the drivers.,clear day with light rain and moderate sunlight from the side,Heavy fog with no visible sun glare and wet road conditions,sunny day with snow on the ground but no direct sunlight in the driver’s eyes,cloudy day with patchy snowfall and reduced visibility due to overcast skies,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A signalized urban intersection with pedestrains lane and apartments at the corner.,residential street with a crosswalk and a pharmacy at the corner,An urban intersection without traffic signals and with pedestrians crossing,signalized intersection with apartment buildings but no dedicated pedestrian lane,"busy commercial area with multiple lanes and traffic lights, but no visible pedestrian infrastructure","Based on the video, what is the configuration of the road at the accident site?",Road Configuration,"A multi-lane, two-way road crossing at a signalized intersection, with pedestrians present on the sidewalks.","single-lane, one-way road with a crosswalk at a non-signalized intersection and no pedestrians visible.","multi-lane, one-way road with traffic signals and pedestrians crossing the street mid-block.","two-lane, two-way road at an uncontrolled intersection with pedestrians waiting at a curb.",divided highway with multiple lanes in each direction and no sidewalk access for pedestrians.,What type of collision occurred between the two vehicles?,Accident Type,"A side-impact (T-bone) collision, where the front white car hit a oncoming car.","rear-end collision, where the white car struck the vehicle in front of it.","head-on collision, where both vehicles approached each other directly and collided frontally.","side-impact collision, where the white car was hit by a vehicle coming from the opposite direction.","sideswipe collision, where the two vehicles scraped along their sides while traveling in the same direction.",What was the primary and most direct cause of this accident?,Accident Cause,The white car failed to yield the right-of-way to oncoming traffic while making a left turn.,The white car was involved in a side-swipe collision due to excessive speed.,"The oncoming vehicle failed to stop at the intersection, causing the collision.",The white car made a left turn but did not signal properly before entering the crosswalk.,The driver of the white car was distracted by a phone call while turning.,What action could have most effectively prevented this collision?,Accident Prevention,The white car should stay calm and drive carefully while in intersection area.,The white car should have accelerated quickly to avoid the intersection conflict.,The driver of the yellow vehicle should have yielded to the white car.,The white car should have signaled earlier before turning left.,The collision could have been avoided if the traffic light had been red instead of green.
