video_number,accident_frame,scene_complexity,dense_caption,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
202,30,9,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime under overcast or cloudy skies with good overall visibility.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A suburban multi-lane road with trees and buildings visible on the sides.,,,,What is the configuration of the road where the incident takes place?,Road Configuration,"A straight, multi-lane, one-way road with clear white lane markings and a shoulder on the right.",,,,What type of collision occurred?,Accident Type,"A sideswipe collision, occurring when the SUV improperly changed into the hatchback's lane.",,,,What was the primary and direct cause of this accident?,Accident Cause,The driver of the silver SUV made an abrupt and unsafe lane change to the right.,,,,Which of the following actions  would have been most effective in preventing this collision?,Accident Prevention,"The SUV maintains a safe following distance from the truck ahead, checks of all mirrors and blind spots before initiating the lane change.",,,
206,30,6,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and a partly moist road surface.,,,,Which of the following best describes the traffic environment where the accident took place?,Traffic Environment,On a rural roadway with high-speed travel.,,,,What is the road configuration at the scene of the collision?,Road Configuration,"A multi-lane street with light traffic, parked cars nearby",,,,What type of collision is depicted in the video?,Accident Type,A series of T-bone and a head-on secondary accident.,,,,"According to the analysis of the vehicles' movements, what was the primary error that initiated the collision sequence?",Accident Cause,The silver car failed to yield the right-of-way while executing a left turn.,,,,What critical action by the driver of the dark (straight-moving) car could have contributed to preventing the accident or mitigating its severity?,Accident Prevention,"Driving at a lower, more appropriate speed for the wet road conditions.",,,
214,30,9,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and a dry road surface.,,,,Which of the following best describes the traffic environment where the accident took place?,Traffic Environment,"Heavy, slow-moving traffic on an urban elevated road or main artery.",,,,What is the road configuration at the scene of the collision?,Road Configuration,"A multi-lane, two-way, straight expressway divided by isolation roadblock, with the collision occurring in one of the middle lanes.",,,,What type of accident is depicted in the video,Accident Type,A rear-end collision where the camera vehicle hit the vehicle directly in front of it.,,,,What was the primary cause of this rear-end collision?,Accident Cause,The driver of the camera vehicle was following the van too closely and failed to react in time when it braked.,,,,Which action could have most effectively prevented this accident?,Accident Prevention,Maintaining a greater and safer following distance from the vehicle ahead.,,,
215,30,7,,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,"Dusk with rain, resulting in wet, reflective road surfaces and reduced visibility",,,,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,A multi-lane urban expressway or arterial road with streetlights and moderate traffic,,,,What is the configuration of the road while crashing?,Road Configuration,"A straight multi-lane, two-way expressway in moderate traffic flow, with several entrances on the right side. A yellow solid line distinguishes the fast lane on the left side.",,,,How can the collision between the silver SUV and the dark sedan be most accurately classified?,Accident Type,"A rear-end collision, where the SUV was struck by the sedan.",,,,What was the primary initiating cause of this accident?,Accident Cause,The silver SUV was incorrectly slowed down in the middle of the expressway to try to change lanes or exit,,,,What single action by one of the drivers would have been most effective in preventing this crash?,Accident Prevention,he driver of the silver SUV should have stopped or slowed down significantly to check for and yield to mainline traffic before pulling off.,,,
220,37,7,,"Based on the video, what are the prevailing weather and light conditions?",Weather & Light,"Overcast daylight with snow accumulated on the roadsides, limited lighting.",,,,Which of the following best describes the traffic environment where the accident occurs?,Traffic Environment,A suburban road with tall street trees and low houses,,,,What is the layout of the road at the point of the collision?,Road Configuration,A T-intersection where a side road in the left joins a two-lane main road with heavy oncoming traffic.,,,,What type of collision occurs in the video?,Accident Type,"A rear-end collision, where the front of the ego-ocar struck the back of the minivan.",,,,What is the primary and most direct cause of this accident?,Accident Cause,The driver of the dark sedan pulled out from a side road without yielding the right-of-way.,,,,What action would have most effectively prevented this collision?,Accident Prevention,The dark sedan stops completely at the edge of the main road to check for and yield to oncoming traffic.,,,
234,31,7,,"Based on the visual evidence in the video, what were the prevailing weather and light conditions at the time of the incident?",Weather & Light,"It was daytime with clear, sunny conditions and good visibility.",,,,Which of the following best describes the traffic environment where the collision takes place?,Traffic Environment,An urban street with residential buildings and infrastructure nearby.,,,,What is the configuration of the road at the location of the accident?,Road Configuration,A samll T-junction on the right side with plenty of parked cars on the edge of the road,,,,How can the collision shown in the video be most accurately classified?,Accident Type,"A T-bone accident occurred when the yellow car, pulling into a traffic lane, was struck on its side.",,,,What was the primary and most direct cause of this accident?,Accident Cause,The yellow car entered a lane of moving traffic from the roadside without yielding the right-of-way.,,,,What is the most critical action the driver of the yellow car should have taken to prevent this collision?,Accident Prevention,The yellow car waits for a safe gap in traffic before entering the lane.,,,
243,31,6,,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Dusk or nighttime with wet roads and accumulated snow on the roadsides.,,,,Which of the following best describes the traffic environment where the accident takes place?,Traffic Environment,A signal-controlled intersection on a multi-lane urban road.,,,,What is the physical layout of the location where the collision occurs?,Road Configuration,A four-way intersection where two roads of equal size cross.,,,,"Based on the way the two vehicles collided, how is this accident best classified?",Accident Type,"A side-impact collision, often referred to as a 'T-bone'",,,,What was the primary and direct cause of this collision?,Accident Cause,The sedan in the same way performed a rash turn while vision was obstructed,,,,What single action by the at-fault driver would have most directly and effectively prevented this accident?,Accident Prevention,The ahead vehicle turns after carfully observing oncoming traffic,,,
244,44,8,,"Based on the visual evidence, what were the weather and lighting conditions at the time of the accident?",Weather & Light,It was daytime with an overcast/cloudy sky and dry road conditions.,,,,Which of the following best describes the traffic environment where the collision occurred,Traffic Environment,An urban multi-lane arterial road.,,,,What is the configuration of the road where the incident takes place?,Road Configuration,"A busy straight, multi-lane urban road with a construction zone in the middle of the road.",,,,What type of accident is depicted in the video?,Accident Type,A sideswipe collision of the black SUV and the front of the truck.,,,,What was the primary and most direct cause of this collision?,Accident Cause,"The black SUV executed an aggressive and unsafe lane change with insufficient space, cutting into the truck's path.",,,,How could this accident most effectively have been prevented?,Accident Prevention,The black SUV maintains their lane and overtakes the truck only when the adjacent lane is completely clear for a long distance.,,,
246,30,6,,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with overcast skies and a wet road surface.,,,,Which of the following best describes the traffic environment where the accident took place?,Traffic Environment,"An urban area main road,with low-rise residential buildings on the roadside",,,,What is the configuration of the road where the collision happened?,Road Configuration,"A multi-lane arterial road with a signal-controlled intersection ,and with moderate traffic, including other cars and a bus.",,,,How can the type of accident shown in the video be classified?,Accident Type,"A T-bone collision, where the front of the straight-traveling ego vehicle struck the side of the left-turning van.",,,,What was the primary cause of this accident?,Accident Cause,The van driver failed to yield the right-of-way to oncoming traffic while making a left turn.,,,,What was the most critical action of the participants could have taken to prevent this collision?,Accident Prevention,The turning van waits for the oncoming straight traffic to clear the intersection before initiating the left turn.,,,
247,47,6,,"Based on the video, what were the environmental conditions at the time of the incident?",Weather & Light,"Daytime with heavy snowfall, resulting in low visibility and snow-covered roads.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A rural or suburban arterial road with overhead trolleybus lines, commercial buildings, and other heavy vehicles.",,,,What is the configuration of the road where the incident takes place?,Road Configuration,"A signalized intersection with truck and tram, but lane markings are obscured by heavy snow cover.",,,,How can the collision shown in the video be best classified?,Accident Type,"A head-on collision, preceded by one vehicle losing control, spinning, and crossing into the opposing traffic lane.",,,,What was the most direct cause of the accident?,Accident Cause,"The dark-coloured sedan lost control and was driving at an excessive speed on the hazardous, snow-covered road.",,,,What is the most crucial action the driver of the dark sedan could have taken to prevent this accident?,Accident Prevention,"Significantly reducing speed to a level appropriate for the icy and snowy conditions, and making gentle steering/braking inputs.",,,
250,35,7,,"Based on the visual information in the video, what were the prevailing weather and lighting conditions?",Weather & Light,Clear daytime conditions with good visibility and dry roads.,,,,Which of the following best describes the traffic environment at the moment of the collision?,Traffic Environment,A complicated suburban bumpy road with construction sites and low-rise buildings. ,,,,What is the configuration of the road segment where the incident occurs?,Road Configuration,"Traffic lights at intersections with disorderly traffic conditions, no clear lane markings",,,,What type of collision is shown in the video?,Accident Type,A head-on collision between ego-car and a car performing a lane-changing maneuver.,,,,What was the primary and most direct cause of this accident?,Accident Cause,The oncoming SUV lost concentration and failed to noticing oncoming vehicles when turning,,,,What action would have most effectively prevented this collision?,Accident Prevention,The oncoming minivan waits for a safe and adequate gap in traffic before attempting to change lanes.,,,
251,36,9,,"Based on the visual information in the video, what were the prevailing weather and lighting conditions?",Weather & Light,Clear daytime conditions with good visibility and dry roads.,,,,Which of the following best describes the traffic environment at the moment of the collision?,Traffic Environment,An urban main road with apartments and commercial buildings nearby,,,,What is the configuration of the road segment where the incident occurs?,Road Configuration,"A congested, straight, multi-lane road with at least three lanes in the same direction and slow-moving traffic.",,,,What type of collision is shown in the video?,Accident Type,A rear-end collision in the right lane,,,,What was the primary and most direct cause of this accident?,Accident Cause,The grey sedan failed to keep a safe ditance with the front SUV.,,,,What action would have most effectively prevented this collision?,Accident Prevention,The sedan slows down in heavy traffic,,,
255,35,9,,What are the prevailing weather and road conditions shown in the video?,Weather & Light,"Snowy daytime with overcast skies, and a wet road surface, and reduced lighting,",,,,Which description accurately represents the traffic environment visible in the video?,Traffic Environment,"A suburban road in a residential area, with trees and houses nalongside the road.",,,,What is the configuration of the road on which the accident occurs?,Road Configuration,"A two-way straight, narrow road with vehicle lanes running parallel to tram tracks.mixed vehicle traffic, and a pedestrian crossing.",,,,Which term best classifies the type of collision that takes place?,Accident Type,ear-end collision,,,,What is the primary contributing factor to this collision?,Accident Cause,The ego-vehicle following the truck too closely for the snowy and wet road conditions.,,,,Which of the following actions would have been most effective in preventing this accident?,Accident Prevention,The ego car increases the following distance from the blue truck to account for the slippery road.,,,
256,31,6,,"Based on the video, which of the following best describes the weather and road conditions at the time of the incident?",Weather & Light,"Daytime with overcast skies, and the road surface appears wet and slippery with snow on the roadside.",,,,Traffic Environment,Traffic Environment,"Moderate traffic on a wide hard-surfaced rural roads, the surrounding area is open, including trees and high-voltage power poles",,,,What is the road configuration at the location where the initial hazardous situation was created?,Road Configuration,"A T-junction or an exit ramp where a side road merges into a multi-lane main road from the right, moderate traffic with a mixed car types.",,,,How can the final collision be best classified?,Accident Type,"A rear-end collision, which occurred as part of a chain reaction initiated by another vehicle's unsafe merging maneuver",,,,What was the primary action that triggered the collision?,Accident Cause,"The sedan in front is in the blind spot of t he white semi-truck, causing the T-bone by the truck.",,,,Which of the following actions would have been the most effective in preventing this accident from happening at all?,Accident Prevention,The semi-truck driver should have been checking the surrounding traffic before merging.,,,
259,37,8,,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Dusk with clear visibility and a dry road surface.,,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"A wide, elevated urban expressway with construction zone and low buildings beside the edge of the road.",,,,What is the configuration of the road section where the collision takes place?,Road Configuration,"A multi-lane, one-way roadway or expressway with moderate to heavy traffic flow.",,,,What type of collision occurred between the white and red vehicles?,Accident Type,A sideswipe collision resulting from a sudden rush.,,,,What was the primary and direct cause of this accident?,Accident Cause,The former car performed a suden and reckless stop with its car headlight fuilure.,,,,What is the most critical action the drivers in the video should have taken to prevent this crash?,Accident Prevention,The red car's driver should ensure the car functions well before starting drive.,,,
260,36,7,,What are the weather and lighting conditions at the time of the incident?,Weather & Light,Gloomy sky during the daytime with a dry road surface.,,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"An urban arterial road with trees, buildings, and other vehicles.",,,,hat is the configuration of the road where the collision happens?,Road Configuration,"A two-way, multi-lane straight road with no central median, at an intersection controlled by traffic lights.",,,,"Based on the video, what type of collision occurred?",Accident Type,A side-impact (T-bone) collision where the motorcycle's front hit the car's side.,,,,What was the primary cause that triggered the chain of events leading to the collision?,Accident Cause,"The traffic management system hasn't been designed well in the intersection, causing traffic conflict.",,,,What action could have most effectively prevented this collision?,Accident Prevention,The POV car waits for the straight-through motorcycle to safely pass before initiating the turn.,,,
264,40,9,,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurred during the daytime under gloomy skies with decresed light.,,,,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,Suburban or rural area with tress and decentralized buildings scattered far away.,,,,What is the configuration of the road where the accident takes place?,Road Configuration,"A two-way curved road in moderate traffic, with at least two lanes in each direction, vehicles merging from the right.",,,,How can the type of accident seen in the video be most accurately classified?,Accident Type,A series of side-impact accidents involving four vehicles,,,,What was the primary contributing factor from Participant B (the green MPV) that led to the crash?,Accident Cause,The light-colored car abruptly entered the main lanes of traffic from the shoulder without yielding.,,,,What critical action could have prevented this collision?,Accident Prevention,The maneuvering car waits the shoulder until the main road was clear of traffic before attempting the maneuver.,,,
267,30,11,,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurred during the daytime under overcast skies with good visibility.,,,,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,"An urban street through residential zone, with vehicles parked along the right side, narrowing the available road space.",,,,What is the configuration of the road where the accident takes place?,Road Configuration,"A two-way road with at least two lanes in each direction, separated by a solid white line.",,,,How can the type of accident seen in the video be most accurately classified?,Accident Type,A loss-of-control incident where a moving vehicle crosses into the opposing lane and strikes merging SUV.,,,,"Based on the silver car's sudden and sharp turn, what is the most likely direct cause of the accident?",Accident Cause,"A catastrophic mechanical failure (e.g., tire blowout, steering linkage failure) or a sudden medical emergency affecting the driver.",,,,"Considering the most probable root cause of this type of abrupt loss of control, what is a primary measure for prevention?",Accident Prevention,"Conducting regular vehicle maintenance with a focus on tires, suspension, and steering components.",,,
274,39,6,,"Based on the video, what were the weather and lighting conditions when the incident occurred?",Weather & Light,Daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment where the collision happened?,Traffic Environment,"An urban/suburban road with traffic, a shoulder for parking, and a green belt.",,,,What is the road configuration for the ego vehicle's lane just before the collision.,Road Configuration,A standard through-traffic lane on a multi-lane road.,,,,What type of accident occurs in the video?,Accident Type,A rear-end collision caused by the front vehicle reversing into the stationary ego vehicle.,,,,What is the primary cause of this collision?,Accident Cause,The driver of the white van reversed without properly checking for vehicles behind.,,,,Which action by the involved parties could have most effectively prevented this accident?,Accident Prevention,The driver of the white van should have checked their mirrors and blind spots before reversing.,,,
276,30,6,,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Daylight with a cloudy sky, good visibility, and a dry road surface.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban thoroughfare with few tall buildings scatter around.,,,,What is the physical layout of the road where the incident takes place?,Road Configuration,"A straight, multi-lane road divided by trams, with moderate, fast-moving traffic and vehicles parked alongside.",,,,What is the most accurate classification of this traffic accident?,Accident Type,"A rear-end collision where the red car was struck from behind, causing it to swerve.",,,,What was the most direct cause of the red car losing control and crashing?,Accident Cause,The driver of the ego car was speeding too high to maintain control.,,,,Which action by the driver of the red car would have been the most effective way to prevent this crash?,Accident Prevention,The POV car significantly reduces speed to a safe and controllable level before attempting to steer towards the parking area.,,,
278,37,8,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,lear daytime conditions with good visibility and a dry road surface.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban or town road with commercial buildings and parallel parking along the right side.,,,,What is the configuration of the road just before the accident?,Road Configuration,"It was a two-way road with no land markings, with moderate traffic",,,,How can the type of collision in the video be most accurately described?,Accident Type,A sideswipe collision where both vehicles were traveling parallel and one drifted into the other's lane.,,,,What was the primary contributing factor from both drivers that led to this accident?,Accident Cause,"he car driver failed to check for traffic when pulling out, and the motorcyclist was unsafely overtaking at high speed from the right shoulder.",,,,Which combination of actions could have most effectively prevented this accident?,Accident Prevention,"The car driver should have thoroughly checked their mirror and blind spot before merging, and the motorcyclist should have avoided overtaking on the right shoulder.",,,
286,45,6,,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"It is daytime with clear skies, but there is evidence of strong sun glare affecting visibility.",,,,Which of the following best describes the traffic environment shown in the video,Traffic Environment,A busy urban street with multiple lanes of traffic and mature trees lining the road.,,,,What is the configuration of the road on which the incident occurs?,Road Configuration,"A multi-lane thoroughfare, with a dedicated tram or stop on the right side.",,,,What type of accident occurs in the video?,Accident Type,A sideswipe collision between the lead car and the out-of-control bus that performed a sudden turn.,,,,What is the primary cause of this collision?,Accident Cause,The tram out of control and cut in to the ego-car's lane.,,,,Which action would have been most effective in preventing this accident?,Accident Prevention,The bus should constantly check its functional sections to ensure it works well.,,,
300,38,8,,What were the primary weather and lighting conditions that posed a significant hazard at the time of the accident?,Weather & Light,A foggy day with snow and severe sun glare directly facing the drivers.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A signalized urban intersection with pedestrains lane and apartments at the corner.,,,,"Based on the video, what is the configuration of the road at the accident site?",Road Configuration,"A multi-lane, two-way road crossing at a signalized intersection, with pedestrians present on the sidewalks.",,,,What type of collision occurred between the two vehicles?,Accident Type,"A side-impact (T-bone) collision, where the front white car hit a oncoming car.",,,,What was the primary and most direct cause of this accident?,Accident Cause,The white car failed to yield the right-of-way to oncoming traffic while making a left turn.,,,,What action could have most effectively prevented this collision?,Accident Prevention,The white car should stay calm and drive carefully while in intersection area.,,,
306,34,9,,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"It was daytime with clear skies, bright sunlight, and dry road surfaces.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A wide multi-lane urban arterial road with moderate traffic and commercial buildings.,,,,What is the configuration of the road on which the ego-vehicle is traveling?,Road Configuration,"A straight, multi-lane, two-way road divided by a double solid line, with many vehicles parked on the roadside.",,,,What type of collision does the ego-vehicle experience?,Accident Type,A rear-end collision with the vehicle that towads the opposing lane.,,,,"What is the primary factor that led to the collision with the ego-vehicle?""",Accident Cause,"The The white car in front performed a very dangerous U-turn, crossing multiple lanes",,,,What was the most viable action to prevent this specific incident?,Accident Prevention,"The white car should not make a U-turn here. It should make a U-turn in the leftmost lane, not on the solid yellow line.",,,
309,39,7,,"Based on the visual evidence, which of the following best describes the weather and lighting conditions at the time of the incident?",Weather & Light,"lear daylight with good visibility, though there are patches of melting snow and water on the road.",,,,What is the most accurate description of the traffic environment where the collision occurs?,Traffic Environment,An urban auxiliary road with tall buildings nearby.,,,,What is the configuration of the road shown in the video?,Road Configuration,Congested road area shoulder with slow-moving or stop-and-go traffic.,,,,What specific type of collision occurred?,Accident Type,A head-on collision of the oncoming car and the front car which was stationary.,,,,What was the primary contributing factor from Participant B (the green MPV) that led to the crash?,Accident Cause,The coming car's misjudgment of the gap between the car in front.,,,,Which action would have been the most effective measure to prevent this accident?,Accident Prevention,The oncmoing sedan quits cutting in the  parking space in the right hand.,,,
325,42,6,,"Based on the visual evidence, what were the weather and lighting conditions at the time of the accident?",Weather & Light,It was daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"An urban road regulated by traffic lights, with electric wires and shops along the street",,,,What is the configuration of the road where the collision happened?,Road Configuration,A four-way intersection where multiple lanes of traffic cross.,,,,How can the collision be classified?,Accident Type,"An angle collision, where the front of the car struck the side of the motorcycle.",,,,What was the primary factor that directly led to this accident?,Accident Cause,The black car went in the wrong lane and passed the intersection too fast before the green light,,,,What was the most critical action that could have prevented this collision from happening?,Accident Prevention,The driver of the car should have slowed down before the green light turned on and yielded the right-of-way.,,,
326,30,7,,"Based on the video, what are the prevailing weather and road surface conditions at the time of the incident?",Weather & Light,A gloomy day with an overcast sky and a damp road surface.,,,,Which statement best describes the traffic environment just before the collision?,Traffic Environment,A wide urban arterial road.,,,,What is the configuration of the road where the accident occurs?,Road Configuration,"A straight, multi-lane urban main road with at least three lanes in one direction, and heavy, slow-moving or stop-and-go traffic.",,,,What type of accident is depicted in the video?,Accident Type,A multi-vehicle rear-end incident involving a rear-end collision initiated by the camera.,,,,What are the primary contributing factors from the drivers that led to this complex accident,Accident Cause,The dashcam vehicle following too closely and in a high speed.,,,,What is the most crucial action the driver could have taken to prevent their part in this accident?,Accident Prevention,The dashcam car's driver maintains a greater following distance from the grey car to allow for adequate reaction and braking time.,,,
340,32,7,,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,,,,Which of the following best describes the environment where the accident occurred?,Traffic Environment,"An urban intersection featuring traffic signals, overhead wires, and roadside trees.",,,,What is the layout of the road at the scene of the collision?,Road Configuration,"A multi-lane, two-way road forming a unsignalized intersection.",,,,"Based on the dynamics of the collision, what is the most accurate classification of this accident?",Accident Type,A left-turn collision where a turning vehicle crossed the path of an oncoming vehicle.,,,,What was the primary critical error that led to this collision?,Accident Cause,The driver of the light-colored car failed to yield the right-of-way to oncoming traffic while turning left.,,,,What action would have been the most effective measure to prevent this accident?,Accident Prevention,The white minicar waits for a safe gap in oncoming traffic before initiating the left turn.,,,
343,36,8,,"Based on the visual evidence, what were the prevailing weather and road conditions at the time of the incident?",Weather & Light,"Daytime and overcast, with wet road surfaces indicating recent or ongoing rain.",,,,Which specific element in the immediate traffic environment was the most critical factor in obstructing the driver's view of the hazard?,Traffic Environment,A large blue bus traveling in the adjacent lane to the left of the ego-vehicle.,,,,What is the configuration of the road section where the collision occurred?,Road Configuration,A two-way urban road with at least one lane in each direction; the collision did not occur at a marked crosswalk.,,,,This type of accident is best classified as which of the following?,Accident Type,A 'ghost-head' or blind-spot pedestrian collision.,,,,What was the primary and most direct cause of the collision?,Accident Cause,The pedestrian ran across the road from a large blind spot without looking for traffic in the adjacent lane.,,,,"From the driver's perspective, which defensive driving action would have been the most effective in potentially preventing this specific type of accident?",Accident Prevention,Reducing speed and being prepared to stop when driving alongside a large vehicle that blocks the view of the roadside.,,,
349,37,9,,"Based on the video, what were the weather and lighting conditions when the accident occurred?",Weather & Light,"It was daytime with clear, sunny conditions and a dry road surface.",,,,What specific traffic control feature is present at the location of the collision?,Traffic Environment,"Urban street with marked crosswalk with pedestrian crossing signs, and trees along with few low street shops",,,,Which statement accurately describes the road configuration at the accident scene?,Road Configuration,"A straight, multi-lane road at a signalized intersection where at least two lanes traveling in the same direction, with a row of parked cars narrows the road.",,,,What is the most accurate classification of this accident?,Accident Type,A series of acciental events initiated by a black car crossing the intersection by entering the opposite lane,,,,What crucial preventive action should have taken?,Accident Cause,The black car tried to overtake the vehicle ahead from the opposite lane.,,,,,Accident Prevention,The on coming black car in the same lane skeeps in original lane and waits the signal.,,,
350,42,9,,What were the prevailing weather and light conditions when the collision occurred?,Weather & Light,"aytime with an overcast sky, providing clear visibility.",,,,In which type of traffic environment did this incident take place?,Traffic Environment,In an urban area.,,,,"Based on the video, what is the road configuration at the location of the accident?",Road Configuration,"A signalized 4-way intersection consists of a curved multi-lane mainroad。 An accident car broke down in the intersection, blocking the right intersection.",,,,How can the type of accident shown in the video be best described?,Accident Type,A series of rear-end collisions.,,,,What was the primary human error that led to this collision?,Accident Cause,"The driver of the left white car changed lanes abruptly without signaling or checking for adjacent traffic, and  blocked the other vehicle's path.",,,,What key action could the driver of the at-fault car have taken to prevent this accident?,Accident Prevention,"When the road narrows, Mazda drivers should check the traffic on the side before cutting in, and Nissan drivers should keep a safe distance from the vehicle in front.",,,
352,40,7,,"Based on the video, what were the weather and lighting conditions when the accident occurred?",Weather & Light,It was daytime with clear skies and a dry road surface.,,,,Which statement best describes the traffic environment where the collision took place?,Traffic Environment,An urban intersection with marked crosswalks and traffic signals.,,,,What was the road configuration at the point of impact?,Road Configuration,"At an intersection, a bicycle crossed the road at a pedestrain crossing when the traffic light was red in the same direction",,,,What type of accident is depicted in the video?,Accident Type,A collision between an SUV going straight and a cyclist crossing at an intersection.,,,,What was the primary human-factor cause of this collision?,Accident Cause,The cyclist ignored a red traffic signal designated for pedestrians and cyclists.,,,,by the SUV driver would have been the most effective measure to prevent this collision?,Accident Prevention,The cyclist waits for the traffic light on the main road to cross.,,,
360,39,7,,What are the weather and road surface conditions at the time of the incident?,Weather & Light,Overcast skies during the daytime with a dry road surface.,,,,What key traffic surroundings were present at the location of the collision?,Traffic Environment,A rural road with plants and low buildings along the roadside.,,,,"Based on the video, which statement best describes the road where the accident happened?",Road Configuration,"There is a T-junction on the right and a branch road on the left, several pedestrians waited for a bus at the corner station.",,,,What type of accident is depicted in the video?,Accident Type,A collision between a vehicle and a pedestrian at a designated crosswalk,,,,What was the primary cause of this accident?,Accident Cause,The dashcam vehicle driver failed to slow down and yield the right-of-way to the pedestrian at the crosswalk.,,,,How could the participants in this incident have most effectively prevented this collision?,Accident Prevention,The camera vehicle slows down when approaching the crosswalk and stops for the pedestrian.,,,
363,33,7,,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear weather and good visibility.,,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A suburban multiple parallel arterial separated by green belts with buildings nearby.,,,,What is the configuration of the road where the accident occurred?,Road Configuration,A one-way road with only opposite traffic flow.,,,,What type of collision occurred in the video?,Accident Type,A head-on collision caused by an oncoming vehicle crossing the center line.,,,,What was the primary and direct cause of this accident?,Accident Cause,The oncoming silver car suddenly crossed the center line into the ego-vehicle's path.,,,,Which of the following measures would have been most effective in preventing this specific type of head-on collision?,Accident Prevention,Installing a physical median barrier between the opposing lanes of traffic.,,,
365,34,8,,"Based on the video, what are the prevailing weather and light conditions at the time of the accident?",Weather & Light,"Raniy daytime, overcast, and the road surface is wet.",,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A suburban secondary road with fields and scattered buildings.,,,,What is the configuration of the road at the accident location?,Road Configuration,"A continuous downhill intersection controlled by traffic lights with a curve ahead, with marked crosswalk.",,,,How would you classify the type of collision shown in the video?,Accident Type,A severe head-on impact of the front vehcle and an oncoming SUV that drifted out of control.,,,,What was the primary and most direct cause of this accident?,Accident Cause,The SUV lost control and drifted due to excessive speed on an uphill slope,,,,Which action by a driver would have been the most effective measure to prevent this specific collision?,Accident Prevention,"The driver of the dark SUV should have maintained their lane, controlled their speed, and not overtaken another vehicle at the intersection.",,,
371,36,6,,"Based on the video, what were the weather and lighting conditions when the accident happened?",Weather & Light,The accident occurred at night with clear weather and good visibility due to streetlights.,,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A busy, multi-lane urban main road with moderate to heavy traffic.",,,,What is the road configuration at the location of the incident?,Road Configuration,A multi-lane road approaching a intersection with a green light,,,,How would you classify the type of collision?,Accident Type,A rear-end collision where the ego-car hit the back of the SUV.,,,,What was the primary cause of this accident?,Accident Cause,"The car in front brakes suddenly at the intersection, causing a head-on collision.",,,,What action by the driver of the at-fault vehicle could have most effectively prevented this collision?,Accident Prevention,The driver of the POV car shloud keep a safe distance between the front car.,,,
