video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2
000166,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"It was a clear, sunny day with good visibility and a dry road surface.",It was a partly cloudy day with moderate sunlight and a slightly damp road surface.,There was light rain falling with reduced visibility and wet pavement conditions.,Which of the following best describes the traffic environment where the incident took place?,Traffic Environment,"A suburban arterial road with multiple lanes, low residential properties",commercial urban intersection with high-rise buildings and heavy traffic,rural two-lane road surrounded by open fields and sparse vegetation,What's the road configuration when crash happened,Road Configuration,"A highway bend with a secondary road exit on the right, which is quite crowded and has low traffic on the main road. There is a railway bridge above.","straight highway section with a pedestrian overpass and moderate traffic on both the main road and side lanes, featuring a roundabout ahead.","curved road with a secondary road merging from the left, surrounded by commercial buildings and a railway bridge overhead, but with heavy traffic on the main road.",What is the most accurate classification of this traffic incident?,Accident Type,A severe haed-on collison,side-swipe collision between two vehicles,rear-end collision involving a truck and a sedan,"What was the primary, initiating cause of this hazardous situation?",Accident Cause,"The opposite, dark SUV was too fast and outof control",The dark SUV failed to yield at the intersection,"The truck in front braked suddenly, causing a chain reaction","To avoid such accident, what should one of the drivers do?",Accident Prevention,"The SUV should slow down in bend area, ensure the vehicle is in good condition before driving",The SUV should maintain a safe distance from the vehicle ahead and avoid sudden braking,The driver should yield to oncoming traffic at the intersection and check blind spots before turning
000167,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"Dusk/dawn with good visibility and a dry road surface."",",Daytime with moderate fog and a wet road surface.,Nighttime with clear skies and dry pavement.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane highway in suburban area,multi-lane road in an urban area with frequent intersections,highway with multiple lanes and limited access points in a rural setting,What is the configuration of the road where the incident occurs?,Road Configuration,"It is a straight, one-way highway with at least three marked lanes with moderate traffic flow and a solid barrier on the left side.","It is a straight, two-way highway with multiple lanes and light traffic flow, separated by a dashed median line.","It is a curved, one-way road with two marked lanes, moderate traffic, and no physical barriers on either side.",What type of accident is about to occur in the video?,Accident Type,A serial accident consists of a T-bone collision by the car that lost control after committing a rear-end collision.,"rear-end collision occurs when the car in front suddenly brakes, causing the following vehicle to collide from behind.","side-swipe collision happens as the vehicle loses control and drifts into the adjacent lane, striking another car laterally.",What are the primary contributing factors that led to this collision?,Accident Cause,The silver sedan changed lanes so fast and failed to brake afterward,The black SUV suddenly swerved to avoid a vehicle in the adjacent lane,The silver sedan was traveling at a high speed before entering the collision zone,What would have been the most crucial action to prevent this accident?,Accident Prevention,The sedan should brake when changing lanes,The sedan should maintain a safe distance from the vehicle ahead,The driver should signal before changing lanes
000177,"Based on the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Clear, sunny skies during daytime.",Overcast skies with moderate cloud cover during daytime.,Light rain and reduced visibility in the early morning hours.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"An urban road with dense, flowing traffic.",suburban road with moderate traffic and wide lanes.,highway with high-speed traffic and limited access points.,What is the configuration of the road on which the POV vehicle is traveling?,Road Configuration,A straight multi-lane mian road with clearly marked lanes.,narrow two-lane urban street with faded lane markings and frequent intersections.,curved highway with multiple lanes and a central divider separating opposing traffic.,What type of collision occurs in the video?,Accident Type,A rear-end collision where the POV car hits the vehicle ahead.,side-swipe collision where the POV car scrapes the vehicle in the adjacent lane.,head-on collision where the POV car impacts a vehicle traveling in the opposite direction.,What was the primary contributing factor that led to this collision?,Accident Cause,The POV driver was tailgating and did not maintain a safe following distance.,"The vehicle in front suddenly braked without warning, causing the collision.",The POV driver was distracted by a mobile phone while operating the vehicle.,What is the most critical action could have taken to prevent this accident?,Accident Prevention,POV driver increases the following distance to allow for more reaction time.,POV driver maintains a steady speed to avoid sudden braking maneuvers.,The vehicle in front should have signaled earlier to indicate lane changes.
000179,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,Cloudy day with an overcast sky and a dry road surface.,Partly sunny with scattered clouds and a wet road surface due to recent rain.,Overcast sky with low visibility and light fog affecting the road conditions.,Which of the following best describes the traffic environment where the incident occurs?,Traffic Environment,A suburban multi-lane arterial road with moderate traffic.,busy urban intersection with multiple traffic signals and heavy pedestrian activity.,rural two-lane highway with light traffic and open surroundings.,What is the road layout at the location of the initial collision?,Road Configuration,"A two-way road with at least two lanes in each direction, separated by a double solid line.",multi-lane road with a central median barrier separating opposing traffic flows.,two-way road with a single lane in each direction and a dashed center line.,How can the sequence of collisions in this accident be most accurately described?,Accident Type,A T-bone collision during a right turn.,side-swipe collision between two vehicles traveling in the same direction.,rear-end collision caused by a vehicle failing to maintain safe distance.,What was the primary human error that led to this accident?,Accident Cause,The truck driver changed lanes without properly checking the large blind spot on the vehicle's right side.,The truck driver failed to maintain a safe following distance while traveling in the right lane.,"The car in the adjacent lane suddenly accelerated, causing the truck to swerve unexpectedly.",Which action would have been most effective in preventing this entire sequence of events?,Accident Prevention,Performing a thorough visual check of all mirrors and blind spots before initiating the lane change.,Maintaining a safe following distance from the vehicle ahead to avoid sudden braking.,Using turn signals consistently when changing lanes to alert surrounding drivers.
000181,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,A nomal dusk with good visibility,cloudy evening with reduced visibility,bright daytime scene with clear sunlight,Which of the following best describes the traffic environment where the accident happened?,Traffic Environment,"An urban area with multi-story buildings, trees, and commercial billboards.","suburban area with low-rise houses, open sidewalks, and minimal commercial signage.","highway intersection with wide lanes, traffic signals, and limited roadside vegetation.",What is the road configuration at the accident location,Road Configuration,"A multi-lane main road with a marked crosswalk, approaching a signalized intersection.","two-lane residential street with a pedestrian crossing, approaching an uncontrolled intersection.","multi-lane road with a marked crosswalk, but without traffic signals at the intersection.",What type of collision occurred between the two vehicles?,Accident Type,"A series of T-bone collisions, the silver car was hit by two vehicles going straight",head-on collision occurred when the silver car turned left and collided with an oncoming vehicle,rear-end collision happened as the silver car was struck from behind by another vehicle traveling in the same direction,What was the primary cause of this accident?,Accident Cause,"The silver car made an abrupt, unsignaled, and sharp turn across an occupied lane of traffic.",The silver car failed to yield while merging into the left lane during heavy traffic.,"pedestrian suddenly stepped into the roadway, causing the driver to swerve abruptly.",How could this accident have most likely been prevented?,Accident Prevention,"The driver of the silver car should have checked mirrors/blind spots, signaled, and only changed lanes when it was safe to do so.",The driver of the silver car should have maintained a greater following distance to allow more time to react to sudden changes in traffic.,"The pedestrian should have waited for the signal to change before crossing the street, ensuring safer movement across the intersection."
000182,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Cloudy skies with dry road surfaces.,Overcast skies with wet road surfaces due to recent rainfall.,Partly sunny conditions with dry pavement and moderate visibility.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,At suburban intersection with active traffic signals.,At a rural intersection with stop signs and low traffic volume.,On a multi-lane urban road with no traffic signals and moderate vehicle flow.,What is the configuration of the road where the accident took place?,Road Configuration,A busy signalized multi-lane intersection.,two-lane undivided road with a stop sign at the intersection.,multi-lane roundabout with traffic signals and pedestrian crossings.,What type of collision occurred between the truck and the SUV?,Accident Type,A side-impact (T-bone) collision where the front of the van hit the side of the minivan.,rear-end collision where the truck struck the back of the SUV after it stopped at the intersection.,head-on collision between the front of the truck and the front of the SUV as they approached from opposite directions.,What was the primary and direct cause of this accident?,Accident Cause,The red van driver failed to stop at a red traffic light and entered the intersection.,The white van driver turned left without yielding to oncoming traffic.,The red van driver was distracted by a pedestrian crossing the street.,Which of the following actions would have most effectively prevented this collision?,Accident Prevention,The red minivan waits for a safe and clear gap in traffic before entering and crossing the main road.,The red minivan accelerates quickly to merge into traffic without checking for oncoming vehicles.,The driver of the white van yields to the red minivan while entering the main road from a side street.
000185,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with light cloud cover and moderate visibility.,Early morning with foggy conditions and reduced visibility.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A busy suburban area with multiple lanes and commercial billboards.,quiet residential street with narrow lanes and no visible commercial signage.,rural highway with open surroundings and minimal traffic signs or billboards.,What is the configuration of the road where the accident took place?,Road Configuration,A signalized multi-lane T-junction.,signalized multi-lane crossroads with a roundabout in the center.,non-signalized two-lane T-junction with stop signs.,What type of collision occurred in the video?,Accident Type,A head-on collision between the front of both vehicles.,side-swipe collision between the vehicles traveling in the same direction.,rear-end collision caused by the vehicle behind failing to maintain distance.,What was the primary and direct cause of this accident?,Accident Cause,The sedan was speeding through the intersection and did not keep safe distance.,The sedan failed to yield at the intersection due to a sudden change in traffic signal.,The sedan lost control while turning and collided with another vehicle.,Which of the following actions would have most effectively prevented this collision?,Accident Prevention,The sedan slows down when approaching intersection.,The sedan maintains a safe following distance behind the vehicle ahead.,The driver of the white car yields to oncoming traffic at the intersection.
000187,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Daytime, with clear skies and dry road surfaces.","Daytime, with light cloud cover and wet road surfaces due to recent rain.","Early evening, with diminishing sunlight and partially overcast skies.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane road roadway with moderate traffic.,two-lane road with light traffic and minimal vehicle interactions.,busy urban intersection with multiple vehicles merging from side streets.,What is the road configuration at the location of the incident?,Road Configuration,A straight segment of a multi-lane road.,curved section of a two-lane road with traffic signs indicating a turn ahead.,An intersection with multiple lanes and a stop sign controlling traffic flow.,How should the collision between the silver sedan and the blue hatchback be classified?,Accident Type,A side-impact (T-bone) collision.,rear-end collision involving the silver sedan and the blue hatchback.,head-on collision between the two vehicles.,What was the primary critical error that led to this collision?,Accident Cause,The silver sedan failed to yield the right-of-way to through traffic.,The blue sedan entered the intersection without checking for oncoming traffic.,"The white sedan accelerated abruptly, causing a loss of control in the intersection.",What action would have been the most effective way to prevent this accident?,Accident Prevention,The driver of the silver sedan waits for a safe and clear gap in traffic before attempting to cross or enter the lane.,The driver of the blue sedan maintains a safe following distance while merging into the lane.,The driver of the silver sedan signals intention to turn but does not check for oncoming traffic.
000188,"Based on the video, what were the weather and lighting conditions when the accident occurred?",Weather & Light,"It was a rainy day, and the road surface was wet.","It was a cloudy day, but the road surface was dry.",The weather was clear with good visibility and dry pavement.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,An urban area characterized by high-rise residential buildings.,suburban area with low-rise apartment buildings and wide roads.,commercial district featuring shopping centers and office buildings.,What is the road configuration at the location of the incident?,Road Configuration,A multi-lane urban road approaching an intersection with traffic lights.,two-lane residential street with a stop sign at a crossroad.,multi-lane highway approaching an overpass with no traffic signals.,What type of collision occurred between the red car and the silver one?,Accident Type,"A head-on collision, where the two vehicles hit front to front.","rear-end collision, where the red car hit the silver vehicle from behind.","T-bone collision, where the two vehicles collided at a right angle.",What was the direct and primary cause of the collision?,Accident Cause,The silver car drived into the opposite lane,The red car failed to yield at the stop sign,The truck turned left without signaling properly,ow could one of the drivers do to prevent this accident effectively,Accident Prevention,The silver sedan focuses on driving while turning.,The silver sedan maintains a safe following distance behind the vehicle ahead.,The driver of the red car yields to oncoming traffic at the intersection.
000190,"Based on the visual information, what were the weather and lighting conditions at the time of the incident?",Weather & Light,It was daytime with clear weather and good visibility.,It was daytime with light rain and reduced visibility.,It was early morning with overcast skies and moderate lighting.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,The scene takes place on a multi-lane urban road.,The scene takes place on a two-lane rural road with minimal traffic.,The scene shows a busy intersection in a commercial district with multiple pedestrian crossings.,What is the configuration of the road where the incident occurs?,Road Configuration,"A multi-lane road, moderate traffic flow, approaching a signalized intersection with a crosswalk.","two-lane road with heavy traffic, approaching a roundabout with no crosswalk.","multi-lane road with light traffic flow, near a pedestrian crossing but without signalized intersection.",How would you classify the type of accident that occurs in the video?,Accident Type,A severe head-on collision in the left lane.,rear-end collision involving multiple vehicles in the right lane.,side-swipe incident between two cars at a traffic intersection.,What was the primary cause of this collision?,Accident Cause,The opposite white car entered the wrong lane,The driver failed to yield at the intersection,The vehicle was traveling at excessive speed,Which action could have most effectively prevented this incident?,Accident Prevention,The oppsite car slows down and observes the road sign carefully.,The driver maintains a safe distance from the vehicle ahead and avoids sudden braking.,The crossing pedestrian stops at the curb and waits for the signal to change.
000191,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,It was a near-dusk time with dry road.,It was a bright daylight with wet road conditions.,The accident occurred during heavy rain with poor visibility.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An rural road with moderate traffic flow and surrounded by woods,suburban road with light traffic and lined with residential buildings,highway with heavy traffic flow and surrounded by open fields,What is the configuration of the main road on which the blue van was traveling?,Road Configuration,A multi-lane road approaching a T-junction with a double solid lines separating opposing traffic.,two-lane road with a single solid center line approaching a roundabout.,multi-lane road with dashed center lines leading to a crossroads intersection.,"How would you classify the type of collision?""",Accident Type,"Series of T-bone collision where a straightforward-white sedan hit by a dark minivan and lost control, then made a lateral drift, comiitted a T-bone with the blue van ahead the ego-car.","rear-end collision occurred when the white sedan struck the back of the dark minivan, causing it to spin and collide with the blue van in the adjacent lane.","side-swipe collision happened between the white sedan and the dark minivan, followed by a lateral drift that led to a secondary impact with the blue van ahead.",What was the primary cause of this accident?,Accident Cause,The white car lost control after the side impact in the intersection,The white car failed to yield at the intersection and collided with the blue van,"The blue van suddenly changed lanes, causing the white car to swerve and lose control",What action could have most likely prevented this collision?,Accident Prevention,The driver of the dark silver seadan stops and checks for oncoming traffic on the main road before proceeding.,The driver of the white minivan maintains a safe following distance and avoids sudden lane changes.,The driver of the blue van signals before turning and checks blind spots carefully.
000193,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with partly cloudy skies and moderate visibility.,Early morning with low sunlight and hazy conditions.,What best describes the traffic environment where the accident occurred?,Traffic Environment,n urban road with trees and buildings alongside.,rural road with open fields and few structures nearby,highway with multiple lanes and no visible roadside vegetation,What is the configuration of the road where the incident takes place?,Road Configuration,"A multi-lane bend with at least two lanes for traffic moving in the same direction, , approaching a traffic-congest intersection.",straight two-lane road with moderate traffic approaching a roundabout intersection.,"multi-lane road with vehicles traveling in opposite directions, leading to a signal-controlled intersection.",Which of the following best describes the type of accident shown in the video?,Accident Type,A sideswipe collision by the large truck and an in-lane black car,rear-end collision between the large truck and a black car in the same lane,T-bone collision involving the large truck and a vehicle crossing from the side,What was the primary cause of this accident?,Accident Cause,The truck merging to the left veered sharply to the right due to an unstable center of gravity.,The truck lost control due to sudden braking while navigating a sharp turn.,"The vehicle behind the truck failed to maintain a safe following distance, leading to a rear-end collision.",How could this accident have most effectively been prevented?,Accident Prevention,"The truck driver should have planned the turn in advance, moved to the rightmost lane, and slowly sped up before turning.",The truck driver should have signaled earlier and checked blind spots before initiating the turn.,The car behind the truck should have maintained a greater following distance to allow more reaction time.
000198,"Based on the visual evidence, what are the weather and road conditions at the time of the incident?",Weather & Light,Snowy day with overcast skies and reduced lighting.,Rainy day with wet roads and moderate visibility,Foggy morning with icy patches and low sunlight,In what type of traffic environment does this incident occur?,Traffic Environment,An urban area with multiple vehicles and buildings.,suburban area with low traffic and residential houses.,rural road with minimal vehicles and open surroundings.,How can the road configuration at the accident scene be best described?,Road Configuration,"A wide, multi-lane intersection or open area with unclear or absent lane markings.","narrow, two-lane road with clear lane markings and traffic signals.",roundabout with multiple entry points and visible signage.,Which statement accurately describes the type of collision that occurs?,Accident Type,A rear-end collision by the reversing front car and the ego-car,side-impact collision between the ego-car and a vehicle approaching from the left,frontal collision caused by the ego-car accelerating into the rear of the front car,What was the primary and direct cause of this accident?,Accident Cause,The front minivan tried to reverse when it saw the bus in the main road rushing towards.,The bus failed to yield when turning left at the intersection.,The minivan was not paying attention and suddenly accelerated forward.,Which of the following actions would have most directly prevented this collision?,Accident Prevention,The black minivan driver should have observed before entering the intersection,The driver of the white car should have yielded when turning left,The black minivan should have slowed down before entering the intersection
000199,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Clear and sunny daylight conditions with a dry road surface.,Partially cloudy conditions with moderate sunlight and a damp road surface.,Overcast sky with diffused lighting and dry pavement conditions.,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,A suburban area a mix of passenger cars and commercial trucks.,An industrial zone with heavy commercial traffic and limited passenger vehicles.,busy urban intersection with a high density of motorcycles and public buses.,What is the physical configuration of the road section seen in the video?,Road Configuration,"A straight, multi-lane roadway with a mix of passenger cars and commercial trucks.","curved, two-lane road with light traffic and a single commercial truck visible",multi-lane intersection with heavy vehicle density and active merging traffic,What is the sequence of events that defines this type of accident?,Accident Type,A head-on collision by the POV car and the car from the opposite,side collision between the POV car and a vehicle merging from the right lane,rear-end collision caused by the POV car hitting the vehicle ahead in traffic,What was the primary human factor that led to this collision?,Accident Cause,The ego-car swerved into the opposing lane.,The opposing vehicle failed to yield while merging into the lane.,The ego-car accelerated suddenly without signaling.,What action would have been the most effective way to prevent this accident?,Accident Prevention,The POV driver should merge into the proper lane and not retrograde,The driver should have maintained a safe following distance to avoid sudden braking,The vehicle on the right should have yielded when entering the main road
000202,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime under overcast or cloudy skies with good overall visibility.,"Daytime with clear skies and bright sunlight, resulting in high visibility.",Early evening under dim lighting conditions with reduced visibility due to fading daylight.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A suburban multi-lane road with trees and buildings visible on the sides.,city street with heavy traffic and tall commercial buildings lining both sides.,rural two-lane road surrounded by open fields and sparse vegetation.,What is the configuration of the road where the incident takes place?,Road Configuration,"A straight, multi-lane, one-way road with clear white lane markings and a shoulder on the right.","straight, two-lane road with dashed yellow center lines and no shoulder on either side","curved, multi-lane road with solid white lane markings and a median barrier on the left",What type of collision occurred?,Accident Type,"A sideswipe collision, occurring when the SUV improperly changed into the hatchback's lane.","rear-end collision, occurring when the SUV failed to maintain a safe following distance behind the hatchback.","T-bone collision, occurring when the SUV made an illegal left turn across the path of the hatchback.",What was the primary and direct cause of this accident?,Accident Cause,The driver of the silver SUV made an abrupt and unsafe lane change to the right.,The driver of the black sedan failed to maintain a safe following distance.,The silver SUV was traveling at an excessive speed for the road conditions.,Which of the following actions  would have been most effective in preventing this collision?,Accident Prevention,"The SUV maintains a safe following distance from the truck ahead, checks of all mirrors and blind spots before initiating the lane change.",The SUV signals its intention to change lanes well in advance and maintains a steady speed during the maneuver.,The truck ahead slows down gradually and activates its brake lights before coming to a stop.
000206,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and a partly moist road surface.,Daytime with overcast skies and a dry road surface.,Early morning with foggy conditions and wet pavement.,Which of the following best describes the traffic environment where the accident took place?,Traffic Environment,On a rural roadway with high-speed travel.,On a residential street with moderate traffic and low-speed limits.,At an intersection in an urban area with multiple lanes and traffic signals.,What is the road configuration at the scene of the collision?,Road Configuration,"A multi-lane street with light traffic, parked cars nearby",two-lane road with heavy traffic and no parked vehicles visible,residential intersection with a crosswalk and stop signs present,What type of collision is depicted in the video?,Accident Type,A series of T-bone and a head-on secondary accident.,rear-end collision followed by a vehicle veering off the road.,side-swipe incident involving two vehicles traveling in the same direction.,"According to the analysis of the vehicles' movements, what was the primary error that initiated the collision sequence?",Accident Cause,The silver car failed to yield the right-of-way while executing a left turn.,The black car accelerated suddenly while changing lanes without signaling.,The silver car was traveling at an excessive speed for the road conditions.,What critical action by the driver of the dark (straight-moving) car could have contributed to preventing the accident or mitigating its severity?,Accident Prevention,"Driving at a lower, more appropriate speed for the wet road conditions.",Maintaining a greater following distance from the vehicle ahead to allow for longer braking time.,Using windshield wipers more frequently to improve visibility during wet conditions.
000214,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and a dry road surface.,Daytime with overcast skies and a wet road surface.,Evening with cloudy skies and a dry road surface.,Which of the following best describes the traffic environment where the accident took place?,Traffic Environment,"Heavy, slow-moving traffic on an urban elevated road or main artery.",Light traffic on a suburban highway with minimal congestion,narrow urban street with frequent pedestrian crossings and low speed limits,What is the road configuration at the scene of the collision?,Road Configuration,"A multi-lane, two-way, straight expressway divided by isolation roadblock, with the collision occurring in one of the middle lanes.","multi-lane, one-way highway with no physical divider, where the collision occurred in a right-side lane near an exit ramp.","two-lane, two-way road with a center turn lane and no barriers, where the collision took place at an intersection.",What type of accident is depicted in the video,Accident Type,A rear-end collision where the camera vehicle hit the vehicle directly in front of it.,side-impact collision where the camera vehicle struck the vehicle to its right.,front-end collision where the camera vehicle hit a stationary obstacle ahead.,What was the primary cause of this rear-end collision?,Accident Cause,The driver of the camera vehicle was following the van too closely and failed to react in time when it braked.,"The van suddenly changed lanes without signaling, causing the camera vehicle to collide with it.",The driver of the van braked unexpectedly due to a pedestrian crossing the road ahead.,Which action could have most effectively prevented this accident?,Accident Prevention,Maintaining a greater and safer following distance from the vehicle ahead.,Using the turn signal earlier to indicate lane changes and prevent sudden movements,Reducing speed before approaching traffic congestion to allow for smoother braking
000215,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,"Dusk with rain, resulting in wet, reflective road surfaces and reduced visibility","Overcast skies with light fog, causing diminished visibility and damp road conditions",Clear evening with dry pavement and moderate lighting from street lamps,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,A multi-lane urban expressway or arterial road with streetlights and moderate traffic,rural two-lane highway with minimal lighting and light traffic,busy urban intersection with traffic signals and heavy pedestrian activity,What is the configuration of the road while crashing?,Road Configuration,"A straight multi-lane, two-way expressway in moderate traffic flow, with several entrances on the right side. A yellow solid line distinguishes the fast lane on the left side.","straight two-lane road with a dashed center line, light traffic, and no visible entrances on either side.","curved multi-lane highway with heavy traffic, multiple exits on the left, and a broken yellow line separating opposing lanes.",How can the collision between the silver SUV and the dark sedan be most accurately classified?,Accident Type,"A rear-end collision, where the SUV was struck by the sedan.","side-impact collision, where the sedan struck the SUV's left rear quarter panel.","head-on collision, where both vehicles approached each other from opposite directions.",What was the primary initiating cause of this accident?,Accident Cause,The silver SUV was incorrectly slowed down in the middle of the expressway to try to change lanes or exit,"The black SUV suddenly changed lanes without signaling, causing a collision with the vehicle in the adjacent lane",The silver SUV was traveling at excessive speed and failed to maintain a safe following distance,What single action by one of the drivers would have been most effective in preventing this crash?,Accident Prevention,he driver of the silver SUV should have stopped or slowed down significantly to check for and yield to mainline traffic before pulling off.,The driver of the silver SUV should have signaled earlier to indicate their intention to merge into traffic.,The driver of the silver SUV should have maintained a steady speed and avoided sudden braking when entering the roadway.
000220,"Based on the video, what are the prevailing weather and light conditions?",Weather & Light,"Overcast daylight with snow accumulated on the roadsides, limited lighting.",Clear daylight with snow on the ground and ample natural lighting,Heavy rain during twilight with wet roads and reduced visibility,Which of the following best describes the traffic environment where the accident occurs?,Traffic Environment,A suburban road with tall street trees and low houses,snowy urban street with dense traffic and multi-story buildings,rural highway surrounded by open fields and sparse vegetation,What is the layout of the road at the point of the collision?,Road Configuration,A T-intersection where a side road in the left joins a two-lane main road with heavy oncoming traffic.,four-way intersection with traffic signals and vehicles approaching from all directions.,two-lane road with a narrow shoulder where a vehicle pulled out from a parking area into oncoming traffic.,What type of collision occurs in the video?,Accident Type,"A rear-end collision, where the front of the ego-ocar struck the back of the minivan.","side-swipe collision, where the ego-vehicle made contact with the side of the minivan while changing lanes.","T-bone collision, where the ego-vehicle struck the minivan perpendicularly at an intersection.",What is the primary and most direct cause of this accident?,Accident Cause,The driver of the dark sedan pulled out from a side road without yielding the right-of-way.,The driver of the dark sedan was distracted by a mobile phone while merging onto the main road.,The vehicle in the opposite lane failed to maintain a safe distance and collided with the sedan.,What action would have most effectively prevented this collision?,Accident Prevention,The dark sedan stops completely at the edge of the main road to check for and yield to oncoming traffic.,"The dark sedan slows down before turning but does not come to a full stop, allowing it to merge quickly into traffic.",The driver of the dark sedan checks for oncoming vehicles only briefly before proceeding without yielding.
000234,"Based on the visual evidence in the video, what were the prevailing weather and light conditions at the time of the incident?",Weather & Light,"It was daytime with clear, sunny conditions and good visibility.",It was daytime with overcast skies and moderate visibility due to light cloud cover.,It was early morning with low sunlight and hazy conditions affecting visibility.,Which of the following best describes the traffic environment where the collision takes place?,Traffic Environment,An urban street with residential buildings and infrastructure nearby.,suburban road with low-rise houses and minimal traffic signs.,"commercial area with shops, parking lots, and heavy vehicle activity.",What is the configuration of the road at the location of the accident?,Road Configuration,A samll T-junction on the right side with plenty of parked cars on the edge of the road,straight road with a crosswalk and no parked vehicles on either side,narrow alleyway with buildings on both sides and limited visibility ahead,How can the collision shown in the video be most accurately classified?,Accident Type,"A T-bone accident occurred when the yellow car, pulling into a traffic lane, was struck on its side.",sideswipe collision occurred when the yellow car changed lanes and scraped against the vehicle in the adjacent lane.,rear-end collision happened when the yellow car was struck from behind while merging into traffic.,What was the primary and most direct cause of this accident?,Accident Cause,The yellow car entered a lane of moving traffic from the roadside without yielding the right-of-way.,The driver of the yellow car failed to check for oncoming traffic before merging into the lane.,"The black vehicle accelerated suddenly, causing the yellow car to swerve into its path.",What is the most critical action the driver of the yellow car should have taken to prevent this collision?,Accident Prevention,The yellow car waits for a safe gap in traffic before entering the lane.,The yellow car should have signaled its intention to merge earlier to alert other drivers.,The driver of the yellow car should have accelerated quickly to avoid blocking traffic.
000243,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Dusk or nighttime with wet roads and accumulated snow on the roadsides.,Daytime with clear skies and dry road surfaces,Early morning with light fog and partially cleared roads,Which of the following best describes the traffic environment where the accident takes place?,Traffic Environment,A signal-controlled intersection on a multi-lane urban road.,residential street with no traffic signals and low-speed vehicle movement.,roundabout in a suburban area with moderate traffic flow.,What is the physical layout of the location where the collision occurs?,Road Configuration,A four-way intersection where two roads of equal size cross.,T-intersection where a minor road meets a major road at a right angle.,roundabout with multiple entry and exit points controlled by yield signs.,"Based on the way the two vehicles collided, how is this accident best classified?",Accident Type,"A side-impact collision, often referred to as a 'T-bone'","rear-end collision, where one vehicle strikes the back of another","head-on collision, involving two vehicles moving toward each other in opposite directions",What was the primary and direct cause of this collision?,Accident Cause,The sedan in the same way performed a rash turn while vision was obstructed,The sedan failed to yield while turning left at the intersection,"The vehicle in front suddenly braked without warning, causing a rear-end collision",What single action by the at-fault driver would have most directly and effectively prevented this accident?,Accident Prevention,The ahead vehicle turns after carfully observing oncoming traffic,The ahead vehicle maintains a steady speed without changing lanes,The driver yields to oncoming traffic before initiating the turn
