video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
000247,"Based on the video, what were the environmental conditions at the time of the incident?",Weather & Light,"Daytime with heavy snowfall, resulting in low visibility and snow-covered roads.",Daytime with light snowfall and clear visibility on partially cleared roads.,"Nighttime with heavy snowfall, causing low visibility and icy road conditions.","Daytime with moderate rain and wet roads, resulting in reduced traction but normal visibility.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A rural or suburban arterial road with overhead trolleybus lines, commercial buildings, and other heavy vehicles.","snowy urban intersection with overhead tram lines, commercial signage, and moderate traffic flow.","rural highway with snow-covered roads, utility poles, and light vehicle traffic.","suburban road with overhead trolleybus lines, commercial buildings, and light traffic during winter conditions.",What is the configuration of the road where the incident takes place?,Road Configuration,"A signalized intersection with truck and tram, but lane markings are obscured by heavy snow cover.","signalized intersection with heavy snow cover, but no tram or truck present.",snowy two-lane road with traffic signals and visible lane markings.,"signalized intersection with a tram and truck, but the road surface is clear of snow.",How can the collision shown in the video be best classified?,Accident Type,"A head-on collision, preceded by one vehicle losing control, spinning, and crossing into the opposing traffic lane.",side-swipe collision occurring when one vehicle drifts into the adjacent lane due to slippery road conditions,rear-end collision caused by a vehicle failing to maintain sufficient following distance in snowy weather,T-bone collision resulting from a vehicle making an illegal left turn across oncoming traffic,What was the most direct cause of the accident?,Accident Cause,"The dark-coloured sedan lost control and was driving at an excessive speed on the hazardous, snow-covered road.",The dark-coloured sedan attempted to turn left without yielding to oncoming traffic on the slippery road.,"The truck failed to maintain a safe distance from the vehicle ahead, causing a rear-end collision in the snow.","The sedan was driving at an excessive speed, but the accident occurred due to the other driver's sudden lane change.",What is the most crucial action the driver of the dark sedan could have taken to prevent this accident?,Accident Prevention,"Significantly reducing speed to a level appropriate for the icy and snowy conditions, and making gentle steering/braking inputs.",Maintaining a safe following distance while continuing to drive at the posted speed limit in icy conditions.,Applying heavy braking to quickly stop before reaching the intersection.,Using engine braking and keeping the vehicle in a lower gear to manage speed on slippery roads.
000250,"Based on the visual information in the video, what were the prevailing weather and lighting conditions?",Weather & Light,Clear daytime conditions with good visibility and dry roads.,Overcast daytime conditions with moderate visibility and wet pavement,Bright afternoon lighting with light rain falling and damp road surfaces,Clear skies during early morning hours with dry roads and low sunlight angle,Which of the following best describes the traffic environment at the moment of the collision?,Traffic Environment,A complicated suburban bumpy road with construction sites and low-rise buildings.,busy urban intersection with multiple lanes and high-rise buildings in the background,quiet residential street with parked cars and tree-lined sidewalks,construction zone on a straight highway with temporary barriers and heavy machinery,What is the configuration of the road segment where the incident occurs?,Road Configuration,"Traffic lights at intersections with disorderly traffic conditions, no clear lane markings",Traffic lights at intersections with clear lane markings and moderate traffic flow,Roundabout with no traffic signals and multiple entry points,Signalized intersection with visible lane markings but heavy pedestrian activity,What type of collision is shown in the video?,Accident Type,A head-on collision between ego-car and a car performing a lane-changing maneuver.,side-swipe collision between the ego-car and a vehicle merging from the right lane.,rear-end collision involving the ego-car and a stationary vehicle at an intersection.,head-on collision between the ego-car and a car that changed lanes but did not make contact.,What was the primary and most direct cause of this accident?,Accident Cause,The oncoming SUV lost concentration and failed to noticing oncoming vehicles when turning,The SUV failed to yield at the intersection due to a malfunctioning traffic signal,The oncoming vehicle was distracted by a pedestrian crossing the road,The driver of the SUV misjudged the speed of the approaching car while turning,What action would have most effectively prevented this collision?,Accident Prevention,The oncoming minivan waits for a safe and adequate gap in traffic before attempting to change lanes.,The driver of the black SUV maintains a steady speed while approaching the intersection.,The oncoming minivan signals its intent to change lanes but does not check blind spots.,The driver of the gray sedan yields to the SUV before proceeding through the intersection.
000251,"Based on the visual information in the video, what were the prevailing weather and lighting conditions?",Weather & Light,Clear daytime conditions with good visibility and dry roads.,Overcast daytime conditions with moderate cloud cover and dry roads.,Bright evening lighting with clear skies and wet pavement due to recent rain.,Partially cloudy morning conditions with good visibility and dry road surfaces.,Which of the following best describes the traffic environment at the moment of the collision?,Traffic Environment,An urban main road with apartments and commercial buildings nearby,residential street with low-rise houses and minimal commercial activity,busy intersection in a downtown area surrounded by high-rise office buildings,suburban road with scattered homes and light traffic near a park,What is the configuration of the road segment where the incident occurs?,Road Configuration,"A congested, straight, multi-lane road with at least three lanes in the same direction and slow-moving traffic.","wide, straight road with multiple lanes in both directions and moderate traffic flow.",narrow urban street with two lanes in one direction and heavy pedestrian activity.,multi-lane road with at least three lanes in the same direction but free-flowing traffic conditions.,What type of collision is shown in the video?,Accident Type,A rear-end collision in the right lane,side-swipe collision in the left lane,head-on collision at the intersection,rear-end collision in the left lane,What was the primary and most direct cause of this accident?,Accident Cause,The grey sedan failed to keep a safe ditance with the front SUV.,"The grey sedan turned left without signaling, causing a collision with the SUV.","The SUV suddenly slowed down without warning, leading to the rear-end collision.","The grey sedan was driving at an excessive speed, which contributed to the accident.",What action would have most effectively prevented this collision?,Accident Prevention,The sedan slows down in heavy traffic,The sedan maintains a steady speed in heavy traffic,The sedan changes lanes to avoid the vehicle ahead,The sedan accelerates to pass the car in front
000255,What are the prevailing weather and road conditions shown in the video?,Weather & Light,"Snowy daytime with overcast skies, and a wet road surface, and reduced lighting,","Snowy daytime with clear skies and a dry road surface, and normal visibility","Rainy daytime with overcast skies and a wet road surface, and reduced lighting","Snowy evening with overcast skies and a wet road surface, and low ambient light",Which description accurately represents the traffic environment visible in the video?,Traffic Environment,"A suburban road in a residential area, with trees and houses nalongside the road.",snowy urban street with commercial buildings and a bus stop on the side,rural highway surrounded by bare trees and open fields with no nearby structures,"residential road with houses and trees, but with heavy snow covering the entire roadway and sidewalks",What is the configuration of the road on which the accident occurs?,Road Configuration,"A two-way straight, narrow road with vehicle lanes running parallel to tram tracks.mixed vehicle traffic, and a pedestrian crossing.","two-way road with tram tracks on the side and a pedestrian crossing, but without separate vehicle lanes running parallel to the tram tracks.","one-way road with mixed traffic and tram tracks adjacent to the roadway, featuring a pedestrian crossing at an intersection.","two-lane road with tram tracks embedded in the center and vehicles traveling in both directions, including a pedestrian crossing near a bus stop.",Which term best classifies the type of collision that takes place?,Accident Type,ear-end collision,rear-end collision,side-impact collision,head-on collision,What is the primary contributing factor to this collision?,Accident Cause,The ego-vehicle following the truck too closely for the snowy and wet road conditions.,The truck suddenly braking without warning in the snowy conditions.,The ego-vehicle failing to maintain proper lane position on the wet road.,The driver of the truck not checking blind spots before changing lanes.,Which of the following actions would have been most effective in preventing this accident?,Accident Prevention,The ego car increases the following distance from the blue truck to account for the slippery road.,The ego car maintains a safe following distance but accelerates to match the speed of the blue truck on the icy road.,The ego car reduces speed slightly while staying close behind the blue truck to avoid sudden stops.,The ego car increases the following distance from the blue truck due to poor visibility caused by snowfall.
000256,"Based on the video, which of the following best describes the weather and road conditions at the time of the incident?",Weather & Light,"Daytime with overcast skies, and the road surface appears wet and slippery with snow on the roadside.","Daytime with clear skies, and the road surface appears dry with no visible snow on the roadside.","Early morning with foggy conditions, and the road is icy with slush and scattered patches of snow.","Daytime with overcast skies, but the road surface is dry and clear of any snow or moisture.",Traffic Environment,Traffic Environment,"Moderate traffic on a wide hard-surfaced rural roads, the surrounding area is open, including trees and high-voltage power poles",Heavy traffic on a narrow rural road with snow-covered shoulders and bare trees lining both sides of the roadway,Light traffic on a wide urban highway with multiple lanes and buildings visible in the surrounding area,"Moderate traffic on a paved rural road with snow along the roadside and utility poles, but no visible trees in the immediate vicinity",What is the road configuration at the location where the initial hazardous situation was created?,Road Configuration,"A T-junction or an exit ramp where a side road merges into a multi-lane main road from the right, moderate traffic with a mixed car types.","multi-lane highway with a merging lane from the left, heavy traffic consisting primarily of trucks and buses.","roundabout intersection with multiple entry points and moderate vehicle flow, including cars and light commercial vehicles.","T-junction where a side road merges into a two-lane main road from the left, with light traffic and mostly passenger cars.",How can the final collision be best classified?,Accident Type,"A rear-end collision, which occurred as part of a chain reaction initiated by another vehicle's unsafe merging maneuver",side-impact collision caused by a vehicle changing lanes without signaling,head-on collision resulting from a sudden loss of control on a slippery road,rear-end collision initiated by a vehicle braking abruptly due to traffic congestion,What was the primary action that triggered the collision?,Accident Cause,"The sedan in front is in the blind spot of t he white semi-truck, causing the T-bone by the truck.","The sedan attempted to change lanes too quickly, causing the semi-truck to swerve and collide.","The white semi-truck failed to maintain a safe distance from the sedan ahead, resulting in a rear-end collision.","The sedan was positioned in the blind spot of the semi-truck, but the truck did not attempt to turn or change lanes.",Which of the following actions would have been the most effective in preventing this accident from happening at all?,Accident Prevention,The semi-truck driver should have been checking the surrounding traffic before merging.,The car driver should have maintained a greater following distance to avoid sudden braking.,The semi-truck driver should have signaled earlier before changing lanes.,The semi-truck driver should have slowed down gradually instead of merging abruptly.
000259,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Dusk with clear visibility and a dry road surface.,Daytime with moderate sunlight and a wet road surface.,Early morning with low visibility due to fog and dry pavement.,Dusk with clear visibility but a partially wet road surface.,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"A wide, elevated urban expressway with construction zone and low buildings beside the edge of the road.",multi-lane urban road with ongoing construction on the right side and tall residential buildings nearby.,busy elevated highway with no visible construction zones and surrounded by low-rise commercial structures.,"wide city expressway with construction activity, but featuring high-rise buildings along both sides of the road.",What is the configuration of the road section where the collision takes place?,Road Configuration,"A multi-lane, one-way roadway or expressway with moderate to heavy traffic flow.","multi-lane, two-way roadway with light traffic flow and a central divider",single-lane urban street with moderate traffic and frequent pedestrian crossings,divided highway with multiple lanes in each direction and heavy congestion,What type of collision occurred between the white and red vehicles?,Accident Type,A sideswipe collision resulting from a sudden rush.,rear-end collision caused by a sudden stop,T-bone collision resulting from a lane change,sideswipe collision due to distracted driving,What was the primary and direct cause of this accident?,Accident Cause,The former car performed a suden and reckless stop with its car headlight fuilure.,"The car in front suddenly changed lanes without signaling, causing a collision.",The driver of the following vehicle failed to maintain a safe distance and braked too late.,"The former car stopped abruptly due to mechanical failure, but its headlights were functioning properly.",What is the most critical action the drivers in the video should have taken to prevent this crash?,Accident Prevention,The red car's driver should ensure the car functions well before starting drive.,The red car's driver should have maintained a safe following distance from the vehicle ahead.,The driver of the white car should have signaled before changing lanes.,The red car's driver should check the mirrors more frequently while driving.
000260,What are the weather and lighting conditions at the time of the incident?,Weather & Light,Gloomy sky during the daytime with a dry road surface.,Cloudy sky during the evening with a wet road surface.,Bright sunlight during the daytime with a dry road surface.,Overcast sky during the daytime with a partially wet road surface.,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"An urban arterial road with trees, buildings, and other vehicles.","suburban residential street with houses, parked cars, and minimal traffic.","highway with multiple lanes, guardrails, and high-speed vehicles.","An urban intersection with traffic lights, pedestrians, and surrounding buildings.",hat is the configuration of the road where the collision happens?,Road Configuration,"A two-way, multi-lane straight road with no central median, at an intersection controlled by traffic lights.","two-way, multi-lane road with a central median and traffic signals at an intersection",four-way intersection with roundabout signage and no traffic lights controlling the flow,"straight, two-lane road with no traffic control devices and minimal vehicle traffic","Based on the video, what type of collision occurred?",Accident Type,A side-impact (T-bone) collision where the motorcycle's front hit the car's side.,rear-end collision where the motorcycle struck the back of the car,head-on collision between the motorcycle and the car traveling in the opposite direction,side-impact collision where the car's front hit the motorcycle's side,What was the primary cause that triggered the chain of events leading to the collision?,Accident Cause,"The traffic management system hasn't been designed well in the intersection, causing traffic conflict.","The driver failed to yield when entering the intersection, leading to a sudden collision.","pedestrian suddenly crossed the road, causing the vehicle to swerve and collide with another car.","The traffic light malfunctioned, resulting in confusion among drivers and triggering the accident.",What action could have most effectively prevented this collision?,Accident Prevention,The POV car waits for the straight-through motorcycle to safely pass before initiating the turn.,The motorcycle should have slowed down to avoid the intersection with the turning vehicle.,The POV car could have signaled earlier to alert the motorcycle of its intention to turn.,The driver should have initiated the turn only after confirming the motorcycle was not approaching from the side.
000264,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurred during the daytime under gloomy skies with decresed light.,The incident occurred during the daytime under clear skies with bright sunlight.,The incident took place at night with heavy rainfall and poor visibility.,The incident happened during the daytime with overcast skies but normal lighting conditions.,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,Suburban or rural area with tress and decentralized buildings scattered far away.,Urban area with dense traffic and multiple intersections surrounded by commercial buildings,"Highway setting with wide lanes, minimal roadside vegetation, and continuous flow of vehicles","Residential neighborhood with low-speed limits, sidewalks, and closely spaced houses along the road",What is the configuration of the road where the accident takes place?,Road Configuration,"A two-way curved road in moderate traffic, with at least two lanes in each direction, vehicles merging from the right.",multi-lane straight road with light traffic and vehicles merging from the left,"two-way road with a sharp curve and heavy traffic, featuring only one lane in each direction",divided highway with moderate traffic and vehicles entering from an on-ramp on the right,How can the type of accident seen in the video be most accurately classified?,Accident Type,A series of side-impact accidents involving four vehicles,multi-vehicle collision involving rear-end impacts on a curved road,side-swipe incident between two vehicles at a highway intersection,"chain-reaction crash with four cars, primarily involving frontal collisions",What was the primary contributing factor from Participant B (the green MPV) that led to the crash?,Accident Cause,The light-colored car abruptly entered the main lanes of traffic from the shoulder without yielding.,The green MPV failed to maintain a safe following distance behind the vehicle ahead.,The light-colored car attempted to merge into traffic but did so at an excessive speed.,The green MPV was distracted by a passenger and did not notice the merging vehicle in time.,What critical action could have prevented this collision?,Accident Prevention,The maneuvering car waits the shoulder until the main road was clear of traffic before attempting the maneuver.,The car on the shoulder should have accelerated quickly to merge into traffic without checking for gaps.,The driver should have signaled earlier but maintained speed while entering the main road.,"The maneuvering vehicle could have waited longer on the shoulder, but only after ensuring no vehicles were approaching from behind."
000267,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurred during the daytime under overcast skies with good visibility.,The incident occurred during the daytime under clear skies with bright sunlight.,The incident took place in the early morning with foggy conditions and reduced visibility.,The incident happened during the evening under cloudy skies with moderate lighting.,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,"An urban street through residential zone, with vehicles parked along the right side, narrowing the available road space.","wide urban road with multiple lanes and no parked vehicles, allowing for clear traffic flow.","residential street with parked cars on both sides, creating a narrow passage for moving vehicles.","An urban street with buildings on both sides and vehicles parked along the left side, reducing space for oncoming traffic.",What is the configuration of the road where the accident takes place?,Road Configuration,"A two-way road with at least two lanes in each direction, separated by a solid white line.","two-way road with two lanes in each direction, separated by a dashed yellow line.",one-way road with multiple lanes and no dividing line between traffic flows.,"two-way road with at least two lanes in each direction, separated by a solid yellow line.",How can the type of accident seen in the video be most accurately classified?,Accident Type,A loss-of-control incident where a moving vehicle crosses into the opposing lane and strikes merging SUV.,rear-end collision involving a bus and a sedan in the same lane,side-swipe incident between two vehicles traveling in the same direction,loss-of-control event where a vehicle crosses into the opposite lane but fails to strike another car,"Based on the silver car's sudden and sharp turn, what is the most likely direct cause of the accident?",Accident Cause,"A catastrophic mechanical failure (e.g., tire blowout, steering linkage failure) or a sudden medical emergency affecting the driver.",sudden loss of traction due to wet road conditions causing the vehicle to skid uncontrollably,An unexpected obstacle appearing in the roadway prompting an evasive maneuver,The driver's momentary distraction from a mobile device leading to delayed reaction time,"Considering the most probable root cause of this type of abrupt loss of control, what is a primary measure for prevention?",Accident Prevention,"Conducting regular vehicle maintenance with a focus on tires, suspension, and steering components.",Ensuring proper tire inflation and regular brake inspections to maintain overall vehicle performance.,Maintaining a safe following distance and avoiding sudden lane changes in heavy traffic conditions.,Checking the vehicle's engine and transmission systems regularly to prevent mechanical failures during operation.
000274,"Based on the video, what were the weather and lighting conditions when the incident occurred?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with light cloud cover and moderate visibility.,Early morning with overcast skies and reduced visibility.,Daytime with clear skies but poor visibility due to glare.,Which of the following best describes the traffic environment where the collision happened?,Traffic Environment,"An urban/suburban road with traffic, a shoulder for parking, and a green belt.",rural two-lane road with no shoulder and sparse vegetation on the sides,"busy highway with multiple lanes, a median divider, and heavy traffic flow",An urban street with parked cars along both sides and a sidewalk adjacent to the roadway,What is the road configuration for the ego vehicle's lane just before the collision.,Road Configuration,A standard through-traffic lane on a multi-lane road.,dedicated turning lane on a multi-lane road,two-way road with shared traffic flow in both directions,lane adjacent to a sidewalk with no clear separation from pedestrian areas,What type of accident occurs in the video?,Accident Type,A rear-end collision caused by the front vehicle reversing into the stationary ego vehicle.,rear-end collision caused by the ego vehicle moving forward into the stationary front vehicle.,side-swipe collision between the ego vehicle and a van traveling in the adjacent lane.,minor impact resulting from the front vehicle reversing while the ego vehicle was also in motion.,What is the primary cause of this collision?,Accident Cause,The driver of the white van reversed without properly checking for vehicles behind.,The driver of the white van failed to maintain a safe following distance while moving forward.,"The silver sedan suddenly accelerated, causing the van to collide with it.",The white van reversed into the silver sedan after stopping too close behind it.,Which action by the involved parties could have most effectively prevented this accident?,Accident Prevention,The driver of the white van should have checked their mirrors and blind spots before reversing.,The driver of the white van should have signaled before changing lanes.,The pedestrian should have crossed the street at a designated crosswalk.,The driver of the white van should have slowed down while approaching the intersection.
000276,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Daylight with a cloudy sky, good visibility, and a dry road surface.","Daylight with a clear sky, moderate visibility, and a wet road surface due to recent rain","Twilight with overcast conditions, reduced visibility, and a dry pavement","Daylight with scattered clouds, good visibility, but a damp road surface from morning dew",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban thoroughfare with few tall buildings scatter around.,wide suburban road with low-rise residential buildings and minimal traffic flow.,multi-lane highway surrounded by dense greenery and few urban structures.,"city street with multiple lanes and tall buildings lining both sides, but with heavy congestion and frequent stops.",What is the physical layout of the road where the incident takes place?,Road Configuration,"A straight, multi-lane road divided by trams, with moderate, fast-moving traffic and vehicles parked alongside.","straight, two-lane road with a central median and light traffic, featuring parked cars on both sides",curved urban road with tram tracks on the right side and moderate traffic flow in both directions,"multi-lane road divided by a fence and tram lines, with heavy traffic and vehicles parked only on the left side",What is the most accurate classification of this traffic accident?,Accident Type,"A rear-end collision where the red car was struck from behind, causing it to swerve.",side-swipe collision where the red car was hit on its left side while changing lanes.,T-bone collision involving the red car and a vehicle entering from a cross street.,rear-end collision where the red car struck the vehicle in front before swerving to avoid impact.,What was the most direct cause of the red car losing control and crashing?,Accident Cause,The driver of the ego car was speeding too high to maintain control.,The red car swerved to avoid a pedestrian crossing the road unexpectedly.,The driver of the red car failed to notice the brake lights of the vehicle ahead in time.,The red car lost traction due to sudden rain on the road surface.,Which action by the driver of the red car would have been the most effective way to prevent this crash?,Accident Prevention,The POV car significantly reduces speed to a safe and controllable level before attempting to steer towards the parking area.,The driver of the red car turns sharply to the right to avoid the oncoming traffic.,The driver of the red car maintains a steady speed while signaling a lane change.,The driver of the red car brakes suddenly but continues straight without adjusting speed before turning.
000278,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,lear daytime conditions with good visibility and a dry road surface.,Overcast daytime conditions with moderate visibility and a wet road surface.,Bright daylight with clear visibility but a partially wet road due to recent rain.,"Daytime conditions with good visibility and a dry road, but heavy shadows from trees reducing contrast.",Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban or town road with commercial buildings and parallel parking along the right side.,suburban road with residential houses and angled parking along the left side,rural highway with open fields and no parked vehicles on either side,An urban street with commercial buildings and perpendicular parking along the right side,What is the configuration of the road just before the accident?,Road Configuration,"It was a two-way road with no land markings, with moderate traffic",It was a one-way road with clear lane markings and light traffic,It was a two-way road with painted center lines and heavy traffic,It was a two-lane road with no visible markings but very low traffic volume,How can the type of collision in the video be most accurately described?,Accident Type,A sideswipe collision where both vehicles were traveling parallel and one drifted into the other's lane.,rear-end collision where the vehicle behind failed to maintain a safe distance and struck the car in front.,T-bone collision occurring at an intersection when one vehicle entered the path of another perpendicularly.,"sideswipe collision where both vehicles were traveling parallel, but one was attempting to pass the other on the left.",What was the primary contributing factor from both drivers that led to this accident?,Accident Cause,"he car driver failed to check for traffic when pulling out, and the motorcyclist was unsafely overtaking at high speed from the right shoulder.","The car driver failed to yield at the intersection, and the motorcyclist was riding without a helmet.","The motorcyclist was traveling too fast for the road conditions, and the car driver was distracted by a mobile phone.","The car driver made an unsafe left turn, and the motorcyclist was attempting to overtake on the left side.",Which combination of actions could have most effectively prevented this accident?,Accident Prevention,"The car driver should have thoroughly checked their mirror and blind spot before merging, and the motorcyclist should have avoided overtaking on the right shoulder.","The car driver should have signaled earlier before changing lanes, and the motorcyclist should have stayed in the left lane to maintain visibility.","The motorcyclist should have slowed down before overtaking, and the car driver should have maintained a steady speed to avoid sudden maneuvers.","The car driver should have checked their mirror and blind spot before merging, but the motorcyclist could have safely overtaken on the right if they had used proper signaling."
000286,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"It is daytime with clear skies, but there is evidence of strong sun glare affecting visibility.","It is daytime with overcast skies, and the lighting is diffused with no significant glare.","The weather is clear and sunny, but the sun is low on the horizon, causing minimal visual interference.","It is early morning with light fog present, and the sunlight is soft, reducing contrast in visibility.",Which of the following best describes the traffic environment shown in the video,Traffic Environment,A busy urban street with multiple lanes of traffic and mature trees lining the road.,wide suburban road with light traffic and young trees along the sidewalk.,narrow city street with heavy pedestrian activity and parked cars on both sides.,multi-lane highway with moderate traffic and no visible roadside vegetation.,What is the configuration of the road on which the incident occurs?,Road Configuration,"A multi-lane thoroughfare, with a dedicated tram or stop on the right side.",two-lane road with a bus stop on the left side and no dedicated tram lane,multi-lane road with a sidewalk on the right side and no public transit infrastructure,"wide road with multiple lanes and a tram stop on the left side, but no clear separation for trams",What type of accident occurs in the video?,Accident Type,A sideswipe collision between the lead car and the out-of-control bus that performed a sudden turn.,rear-end collision between the lead car and the bus that braked suddenly.,T-bone collision involving the lead car and the bus making a left turn.,sideswipe collision between the lead car and the bus that swerved to avoid an obstacle.,What is the primary cause of this collision?,Accident Cause,The tram out of control and cut in to the ego-car's lane.,The tram suddenly accelerated and passed the ego-car on the right side.,The ego-car failed to maintain a safe distance from the vehicle ahead.,The tram swerved to avoid an obstacle and entered the ego-car's lane.,Which action would have been most effective in preventing this accident?,Accident Prevention,The bus should constantly check its functional sections to ensure it works well.,The bus should have maintained a greater following distance from the vehicle ahead.,The driver should have signaled earlier when changing lanes to avoid sudden movements.,The bus should have reduced speed before entering the intersection to improve reaction time.
000300,What were the primary weather and lighting conditions that posed a significant hazard at the time of the accident?,Weather & Light,A foggy day with snow and severe sun glare directly facing the drivers.,clear day with light snow and strong sunlight from the side of the road,rainy day with fog and dim lighting due to overcast skies,sunny day with patches of snow on the roadside and moderate glare from the sun,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A signalized urban intersection with pedestrains lane and apartments at the corner.,signalized urban intersection with a pharmacy and apartment buildings on one side,non-signalized urban intersection with pedestrian crossings and commercial buildings,signalized intersection in a suburban area with residential houses and no dedicated pedestrian lanes,"Based on the video, what is the configuration of the road at the accident site?",Road Configuration,"A multi-lane, two-way road crossing at a signalized intersection, with pedestrians present on the sidewalks.","two-lane, one-way road with a crosswalk at a non-signalized intersection, and no pedestrians visible on the sidewalks.","multi-lane, one-way road intersecting with a side street at a signalized crossing, with vehicles but no pedestrians present.","two-lane, two-way road at an uncontrolled intersection with pedestrian crossings, where traffic signals are absent and pedestrians are seen near the curb.",What type of collision occurred between the two vehicles?,Accident Type,"A side-impact (T-bone) collision, where the front white car hit a oncoming car.",rear-end collision occurred when the white car struck the vehicle in front of it.,head-on collision happened between two cars traveling in opposite directions.,"The white car made a left turn and collided with an oncoming vehicle, but the impact was primarily frontal.",What was the primary and most direct cause of this accident?,Accident Cause,The white car failed to yield the right-of-way to oncoming traffic while making a left turn.,"The white car made a left turn without signaling, causing the collision.",The oncoming vehicle failed to stop at the intersection and struck the turning car.,"The white car began its left turn when the traffic light was still red, leading to the accident.",What action could have most effectively prevented this collision?,Accident Prevention,The white car should stay calm and drive carefully while in intersection area.,The white car should have accelerated quickly to avoid the intersection conflict.,The driver of the yellow vehicle should have yielded to the white car at the intersection.,The white car should have signaled earlier before turning to alert other drivers.
000306,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"It was daytime with clear skies, bright sunlight, and dry road surfaces.","It was daytime with partly cloudy skies, moderate sunlight, and dry road surfaces.","It was early morning with overcast conditions, diffused lighting, and wet pavement from recent rain.","It was daytime with clear skies and bright sunlight, but the road surface was damp due to morning dew.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A wide multi-lane urban arterial road with moderate traffic and commercial buildings.,narrow two-lane residential street with light traffic and apartment buildings,busy multi-lane highway with heavy traffic and minimal commercial structures,"wide urban road with moderate traffic, but primarily lined with residential homes and few businesses",What is the configuration of the road on which the ego-vehicle is traveling?,Road Configuration,"A straight, multi-lane, two-way road divided by a double solid line, with many vehicles parked on the roadside.","straight, multi-lane, two-way road divided by a dashed line, with vehicles parked on both sides","curved, two-lane road with a single solid center line and no parked vehicles on the roadside","straight, multi-lane road with a double solid center line, but only a few vehicles parked on one side",What type of collision does the ego-vehicle experience?,Accident Type,A rear-end collision with the vehicle that towads the opposing lane.,side collision with a vehicle crossing from the adjacent lane.,rear-end collision with a vehicle traveling in the same direction.,frontal collision with a vehicle that crossed into the ego-vehicle's lane.,"What is the primary factor that led to the collision with the ego-vehicle?""",Accident Cause,"The The white car in front performed a very dangerous U-turn, crossing multiple lanes",The white car in front suddenly accelerated and changed lanes without signaling,The ego-vehicle failed to maintain a safe following distance behind the white car,The white car made a sharp left turn from the rightmost lane into the path of the ego-vehicle,What was the most viable action to prevent this specific incident?,Accident Prevention,"The white car should not make a U-turn here. It should make a U-turn in the leftmost lane, not on the solid yellow line.",The white car should have signaled earlier before turning to avoid confusion with other drivers.,The driver of the black vehicle should have slowed down when approaching the intersection to prevent a collision.,The white car could have completed the U-turn safely if it had checked for oncoming traffic first.
